Variable:,pr
,Romania,Alba,Arad,Arges,Bacau,Bihor,Bistrita-nasaud,Botosani,Braila,Brasov,Bucuresti,Buzau,Calarasi,Caras-severin,Cluj,Constanta,Covasna,Dimbovita,Dolj,Galati,Giurgiu,Gorj,Harghita,Hunedoara,Ialomita,Iasi,Maramures,Mehedinti,Mures,Neamt,Olt,Prahova,Salaj,"Satu Mare",Sibiu,Suceava,Teleorman,Timis,Tulcea,Vaslui,Vilcea,Vrancea
1955,802.10,891.12,806.91,868.85,763.66,837.96,913.16,679.67,624.01,891.95,745.44,759.62,696.82,974.13,867.02,602.14,896.14,852.33,733.77,645.19,759.04,905.46,876.46,949.68,675.63,666.93,1001.66,829.57,827.08,799.18,735.03,871.28,866.37,843.75,874.64,878.06,749.20,810.89,524.10,687.45,854.57,753.34
1956,614.43,680.54,627.18,686.63,512.60,627.53,660.34,468.80,488.85,649.27,601.91,576.34,569.02,792.99,634.46,502.64,643.89,683.25,644.69,489.81,641.21,748.52,630.14,750.96,535.78,454.03,689.30,715.52,603.05,538.46,634.31,667.89,618.92,591.69,661.13,612.25,637.34,627.88,433.52,495.24,692.49,549.66
1957,664.42,749.55,631.30,824.14,579.90,662.97,716.29,454.34,495.49,747.52,645.65,614.94,592.87,853.60,702.15,487.34,741.04,797.30,686.18,491.84,688.37,864.65,703.40,848.42,552.12,445.00,764.64,767.78,667.14,582.73,701.62,741.34,684.67,658.11,775.65,651.94,689.75,627.09,409.80,485.87,835.55,588.33
1958,598.27,690.95,620.36,606.60,592.59,688.75,740.60,536.58,478.94,709.63,483.90,563.36,477.09,627.96,691.40,441.43,705.35,570.83,471.67,527.74,468.79,595.45,712.81,681.14,477.28,524.16,813.52,531.70,670.10,635.84,474.33,614.53,715.16,735.00,678.36,711.94,460.45,557.31,424.37,568.44,588.90,591.63
1959,580.43,657.71,592.48,661.02,511.97,608.90,646.63,443.82,433.33,653.06,552.01,544.46,496.40,727.03,628.69,430.63,646.50,651.11,566.27,433.22,574.77,688.01,623.48,710.39,478.47,431.94,696.01,634.04,595.27,533.51,575.76,650.20,623.26,605.13,646.87,590.48,583.00,598.55,375.50,444.64,656.25,516.09
1960,696.74,798.58,703.74,799.46,612.59,766.91,804.25,543.66,483.72,780.61,629.73,621.84,560.50,856.67,791.93,478.51,775.23,770.74,681.54,498.16,662.77,831.60,762.07,862.79,531.89,520.94,902.09,747.65,731.96,647.10,684.55,743.02,827.66,812.27,789.93,724.64,677.00,692.65,423.39,531.74,805.48,598.09
1961,539.41,545.91,456.14,671.81,552.66,451.12,535.54,455.41,462.18,663.76,576.41,596.56,503.36,610.10,495.08,424.31,683.84,672.26,541.14,464.46,584.51,632.13,607.85,592.12,486.85,456.42,535.70,559.56,534.36,546.99,555.79,688.60,457.89,435.81,592.08,558.33,572.98,470.26,375.51,489.67,644.74,573.07
1962,596.08,672.41,555.85,682.51,559.48,596.57,728.48,526.21,442.71,679.62,549.62,559.96,490.41,681.54,652.16,434.66,676.19,651.99,569.87,474.14,561.00,705.73,669.28,690.56,471.63,501.81,761.25,616.48,653.04,583.84,575.63,647.12,638.46,614.61,668.76,666.66,561.54,541.00,383.94,510.85,675.20,561.98
1963,563.20,610.54,617.82,595.89,491.83,625.74,649.10,445.42,445.62,588.14,525.35,514.89,496.24,698.31,599.70,453.07,598.38,580.52,544.05,447.51,546.66,641.93,594.50,677.10,477.21,438.93,711.96,595.51,562.47,523.46,522.61,593.35,614.55,614.36,584.12,595.11,542.59,602.64,405.82,459.53,591.39,495.13
1964,657.30,753.49,664.81,772.79,581.41,677.17,749.87,526.60,504.21,762.09,645.05,637.68,567.08,816.29,705.63,461.38,738.12,761.80,606.42,480.48,645.85,789.60,704.00,807.25,548.36,502.67,788.69,709.45,684.77,607.46,608.78,763.87,692.61,669.10,752.13,684.07,611.73,672.02,404.97,501.11,767.96,596.09
