Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
1954,821.27,729.34,716.12,969.39,745.83,756.57,1432.21,733.71,919.52,1047.21,775.63,656.05,1091.70,612.63,541.75,680.27,683.25,1029.79,778.17,1554.52,791.75
1955,798.15,782.29,678.98,890.72,719.53,813.33,1472.16,783.60,839.84,887.87,793.70,645.83,919.53,588.46,670.63,615.04,731.01,881.94,760.51,1397.04,897.90
1956,791.38,782.78,617.26,819.62,715.06,737.09,1451.10,846.68,865.78,956.65,746.82,646.13,1009.78,538.73,719.59,518.36,690.01,929.76,802.40,1422.25,831.10
1957,822.49,728.92,639.06,858.70,717.94,796.38,1348.34,747.55,988.36,1123.98,693.12,660.53,1072.29,554.09,826.96,589.36,649.58,949.58,713.09,1412.09,832.98
1958,854.43,919.09,674.13,845.66,844.74,833.40,1634.01,954.00,933.35,1071.37,840.56,777.10,1073.13,583.32,670.55,483.27,698.64,1004.25,864.87,1529.75,923.40
1959,934.25,872.72,710.60,926.36,809.30,1017.74,1480.50,878.62,1169.48,1192.50,927.01,722.58,1232.48,627.05,912.87,606.54,839.35,861.28,900.23,1617.09,1054.47
1960,1021.27,921.00,716.35,901.78,837.30,1150.87,1823.41,1045.22,1295.08,1433.70,1035.90,729.10,1353.94,630.93,791.78,390.06,1048.25,1196.23,1037.69,1819.21,1208.79
1961,753.43,819.29,588.45,656.86,764.44,791.69,1349.26,867.36,914.50,873.38,826.56,668.44,912.02,510.27,616.13,382.25,783.79,795.73,830.75,1217.40,801.27
1962,764.25,809.34,583.40,785.19,722.45,751.36,1451.75,884.75,797.29,849.79,791.45,657.06,810.92,534.69,708.84,528.88,704.82,882.32,809.09,1079.76,794.26
1963,943.98,941.73,779.51,958.15,910.65,1005.23,1420.00,969.95,1166.73,1250.08,932.72,788.38,1237.20,670.76,785.79,471.24,886.42,959.85,942.86,1604.59,995.95
1964,873.20,932.72,690.52,871.34,799.54,962.64,1438.19,979.49,940.91,988.90,990.32,732.91,907.32,602.65,711.88,602.38,908.42,938.30,1004.37,1200.36,915.16
1965,816.22,709.33,565.44,776.14,648.11,901.88,1707.06,754.78,850.09,1021.98,790.30,549.09,921.80,475.92,772.48,525.22,805.22,1039.84,756.98,1398.52,1011.03
1966,921.67,867.76,734.98,961.58,867.63,962.85,1511.31,942.42,1086.85,1170.49,934.85,730.32,1110.51,625.06,699.83,572.26,907.98,1142.43,943.34,1475.11,923.29
1967,690.66,700.70,578.81,712.85,658.00,694.37,1270.83,702.05,683.97,875.00,672.28,601.48,740.50,501.72,608.06,394.29,633.85,904.20,666.67,1116.56,710.85
1968,832.83,766.99,665.25,868.00,702.40,910.08,1397.17,795.73,1022.10,1105.68,809.82,615.17,1103.64,586.18,630.92,448.05,789.26,963.05,822.55,1515.15,894.61
1969,851.24,921.86,790.53,981.80,905.14,848.98,1275.46,950.51,891.81,883.19,903.62,750.50,920.18,677.11,870.02,612.14,837.53,735.91,905.51,1237.18,787.87
1970,705.36,695.08,547.54,713.71,672.78,707.64,1307.25,729.56,814.46,939.84,689.17,584.69,901.36,506.25,457.31,349.91,660.34,994.42,677.40,1319.60,685.13
