Variable:,pr
,Spain,Andalucía,Aragón,"Principado de Asturias","Illes Balears",Canarias,Cantabria,"Castilla y León","Castilla-La Mancha",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Comunitat Valenciana",Extremadura,Galicia,"Comunidad de Madrid","Ciudad Autónoma de Melilla","Región de Murcia","Comunidad Foral de Navarra","País Vasco/Euskadi","La Rioja"
1986,563.58,461.79,547.64,909.87,591.43,335.79,939.93,522.28,458.72,566.76,547.60,521.81,422.65,1269.44,437.35,374.90,403.26,736.60,935.59,589.93
1987,720.33,692.31,651.97,1033.04,729.57,349.60,1003.27,672.24,573.61,818.02,833.40,558.76,655.03,1492.35,600.58,260.90,434.25,790.92,950.03,635.21
1988,617.03,505.72,619.80,930.76,497.15,410.71,933.06,612.87,495.70,721.45,609.50,449.01,521.59,1239.92,509.09,262.30,375.63,801.21,950.87,652.42
1989,749.25,824.51,601.77,1020.56,598.70,523.24,919.17,693.84,618.97,699.21,1062.90,717.47,728.43,1427.36,618.53,359.00,613.23,661.68,804.08,542.46
1990,527.39,438.68,527.85,855.84,622.99,335.78,909.33,505.22,373.21,674.93,612.80,446.21,397.65,1093.72,375.06,369.10,350.37,712.09,905.68,582.89
1991,566.39,526.49,587.33,803.20,736.21,264.28,878.95,479.48,434.29,737.50,762.20,533.37,427.99,1133.45,391.63,314.20,383.53,729.18,905.42,582.89
1992,568.24,445.49,619.68,910.93,514.10,164.92,1064.77,539.99,427.15,845.72,485.20,468.98,411.19,1034.59,408.63,349.60,363.53,817.82,1034.64,645.81
1993,607.67,496.71,549.42,1016.35,517.06,310.18,979.01,604.09,472.35,760.13,710.00,460.41,486.81,1341.45,496.52,320.30,373.67,710.43,902.12,575.59
1994,521.81,357.47,502.51,944.50,510.48,264.87,982.42,547.90,335.22,615.44,443.90,367.28,406.21,1341.40,383.18,261.80,264.97,745.53,954.52,602.85
1995,547.02,430.50,459.61,996.79,424.37,238.40,941.13,581.76,375.99,559.86,506.20,326.89,488.79,1426.67,429.88,251.60,250.87,683.02,894.20,546.01
1996,852.63,962.53,744.38,1202.91,779.38,410.02,1272.47,769.74,614.56,996.20,1390.90,559.99,779.88,1681.98,621.46,360.20,456.61,1003.34,1237.19,792.68
1997,817.73,766.12,773.08,1231.08,570.01,291.35,1381.09,831.52,648.14,787.26,802.90,561.61,724.33,1572.40,680.73,282.70,463.02,1060.56,1335.17,910.88
