Variable:,pr
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1942,573.48,560.65,578.12,564.78,531.17,611.16,537.52,569.04,583.39,563.43,548.03,540.41,592.32,618.85,601.49,554.56,589.76,565.29,547.90,548.81,566.27,591.23,553.64,564.01,608.37,602.62,569.82
1943,655.33,659.86,654.49,635.30,638.52,686.24,683.13,646.64,664.45,681.09,627.48,656.11,661.30,673.41,661.51,636.92,664.82,638.56,655.69,632.95,635.03,667.89,618.53,633.84,686.58,670.91,635.49
1944,616.22,601.46,584.38,576.35,565.84,635.29,618.30,605.57,601.17,618.75,580.33,604.34,689.33,706.54,611.87,590.05,618.13,585.18,602.38,586.90,586.85,662.64,616.46,603.53,618.86,614.01,673.24
1945,723.12,747.67,684.66,680.18,712.50,735.87,760.15,728.94,710.66,769.23,701.52,722.39,762.62,806.71,674.63,692.97,732.73,717.98,748.18,705.55,695.78,776.91,683.99,708.00,692.93,678.58,715.30
1946,596.35,608.42,566.00,549.83,589.39,610.69,593.78,627.08,573.90,611.74,602.80,547.68,649.11,663.78,576.80,534.09,595.25,600.39,595.95,547.20,599.92,658.51,590.94,616.82,580.68,567.58,612.70
1947,565.09,593.67,523.97,527.24,561.08,585.08,608.27,563.53,552.12,608.64,537.60,594.97,581.74,613.68,541.29,567.29,577.93,555.83,590.91,557.32,539.87,590.35,515.10,535.83,547.96,536.58,539.17
1948,670.97,685.13,659.68,630.04,657.84,726.86,658.39,681.17,667.64,673.86,651.38,615.39,703.93,715.37,690.85,612.45,676.26,688.94,647.74,616.17,666.80,711.14,648.37,663.07,698.26,695.98,666.59
1949,669.54,663.56,643.85,607.02,646.49,704.65,643.81,697.59,664.66,667.77,666.03,584.71,738.07,746.15,691.40,581.67,668.33,653.47,634.85,595.90,658.82,741.28,679.89,690.28,695.05,692.98,712.72
1950,771.32,802.99,682.86,668.04,786.78,788.58,798.71,820.96,712.70,806.50,790.30,721.49,852.61,882.11,746.61,675.34,765.36,777.45,767.38,700.97,764.89,865.88,751.28,793.78,753.47,745.00,791.50
1951,522.69,510.17,539.43,523.88,476.49,561.60,524.10,502.01,551.72,528.99,488.31,485.83,542.46,545.36,532.92,507.65,550.65,488.01,513.01,506.61,497.67,534.85,499.22,500.78,559.73,543.46,522.08
1952,763.82,749.52,741.16,719.11,722.59,825.83,744.44,768.52,763.37,754.23,728.25,707.66,826.55,835.68,787.24,706.79,767.35,744.98,721.26,710.07,748.60,817.98,757.67,764.57,795.44,790.60,796.85
1953,555.90,532.33,567.07,550.86,508.42,581.19,530.41,547.44,570.75,542.64,523.06,542.74,587.20,593.74,549.71,552.87,562.31,532.59,535.06,542.58,534.99,582.54,567.95,557.20,575.56,552.52,589.19
1954,694.28,708.25,660.98,639.55,691.95,726.18,695.08,719.46,680.12,703.94,695.30,627.41,738.18,772.47,703.15,621.48,697.64,706.49,668.22,635.78,694.89,756.31,663.46,698.83,713.22,705.12,690.26
1955,606.37,604.81,584.81,569.96,574.52,632.56,614.35,602.83,604.01,612.49,576.03,592.03,654.23,670.90,609.84,572.57,610.95,597.18,595.26,576.85,589.77,647.07,585.04,589.82,617.79,610.64,622.88
1956,685.51,696.13,663.76,646.02,664.74,702.86,678.86,708.75,679.64,696.96,673.13,639.00,739.73,769.39,665.70,639.04,694.53,692.92,666.70,642.59,675.44,752.81,659.79,690.81,689.99,664.92,683.68
1957,727.40,719.32,709.08,694.84,675.12,736.85,720.54,741.54,719.54,735.44,700.40,712.87,787.57,812.10,712.11,704.72,735.77,706.11,710.60,702.00,700.57,788.47,711.02,731.53,731.92,716.87,739.44
1958,609.75,632.73,586.52,586.46,606.22,594.50,667.53,608.26,605.18,646.59,591.21,650.07,625.60,642.98,557.88,610.26,629.13,610.04,640.25,615.40,581.75,632.43,570.10,592.36,587.33,560.44,600.75
1959,562.25,574.84,538.99,514.02,555.39,598.21,570.60,568.43,556.93,578.80,563.78,510.12,583.55,585.14,576.97,500.68,576.18,563.70,560.42,521.57,563.68,589.42,540.90,562.93,590.40,581.80,558.77
