Variable:,pr
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1993,1049.61,636.23,1319.42,721.35,1118.57,1314.01,1169.74,1110.39,1140.35,564.90
1994,1029.76,667.70,1399.93,662.35,1043.17,1331.98,1178.31,1050.13,1116.58,537.20
1995,1144.60,742.36,1385.49,836.73,1242.63,1430.27,1229.31,1197.60,1225.42,695.58
1996,1182.63,780.52,1571.20,859.58,1205.88,1429.77,1355.40,1176.11,1073.63,693.03
1997,1067.58,662.16,1330.64,786.75,1166.86,1400.72,1180.33,1044.40,970.81,621.56
1998,1109.68,695.18,1467.11,753.13,1167.46,1417.59,1251.64,1129.34,1103.58,586.48
1999,1172.43,732.23,1497.49,791.69,1129.93,1462.49,1276.65,1360.17,1388.17,650.41
2000,1171.79,614.08,1631.98,721.18,1193.61,1626.57,1274.86,1292.18,1232.74,551.75
2001,1058.36,531.77,1283.54,712.90,1181.33,1428.15,1045.92,1243.45,1278.12,536.25
2002,1212.56,689.80,1507.60,887.74,1325.03,1562.95,1286.56,1263.05,1281.88,684.31
2003,891.80,505.29,1254.40,585.74,885.80,1208.27,990.76,935.34,865.10,457.69
2004,1080.30,661.46,1483.34,751.53,1132.03,1363.69,1255.67,1031.58,958.16,580.96
2005,1125.97,702.87,1455.21,814.92,1223.14,1429.42,1308.10,1050.70,986.90,616.98
2006,1043.76,626.92,1258.46,773.97,1177.99,1348.43,1156.99,1011.13,1015.14,591.96
2007,1164.00,737.29,1427.16,876.77,1250.44,1498.03,1259.92,1168.88,1159.00,699.87
2008,1097.08,693.33,1488.03,764.39,1068.34,1391.25,1222.85,1159.43,1088.89,617.28
2009,1223.73,795.91,1616.56,885.57,1282.87,1536.78,1442.11,1136.35,1041.89,697.74
2010,1158.11,842.19,1546.28,890.09,1157.13,1376.92,1289.20,1115.46,1103.18,767.76
2011,947.19,521.30,1205.83,607.33,1002.10,1284.48,1031.51,1059.18,1022.46,468.23
2012,1126.57,647.60,1506.19,728.77,1161.95,1500.51,1246.93,1213.13,1177.53,571.37
2013,1167.40,728.55,1625.21,804.26,1186.75,1476.02,1315.11,1171.27,1116.28,644.25
2014,1242.28,832.96,1766.02,895.00,1235.13,1513.20,1501.62,1105.03,1049.63,699.53
2015,1076.54,692.14,1519.32,727.31,1070.88,1395.05,1256.37,1042.00,966.31,576.81
2016,1346.71,883.92,1828.61,972.28,1373.82,1692.93,1576.27,1243.43,1227.47,789.88
2017,1271.81,750.27,1703.72,859.70,1312.01,1687.85,1431.11,1295.37,1250.21,668.06
2018,1099.63,716.44,1476.12,781.39,1148.71,1386.59,1301.83,1020.98,925.68,617.30
2019,1188.97,750.31,1677.84,807.15,1153.72,1495.46,1364.85,1203.84,1187.17,646.37
2020,1279.32,819.65,1720.16,925.85,1337.99,1631.28,1512.48,1160.99,1062.21,742.04
2021,1090.11,663.94,1380.34,760.11,1153.82,1399.85,1190.22,1150.45,1168.28,593.48
