Variable:,pr
,Greece,"Anatoliki Makedonia Kai Thraki",Attiki,"Dytiki Ellada","Dytiki Makedonia","Ionioi Nisoi",Ipeiros,"Kentriki Makedonia",Kriti,Peloponnisos,"Sterea Ellada",Thessalia,"Voreio Aigaio","Notio Aigaio"
1972,763.31,615.48,581.15,863.59,864.70,1129.50,1204.70,621.45,779.40,740.22,714.87,763.68,485.25,560.39
1973,735.91,638.54,497.77,895.23,795.77,1179.13,1200.60,589.81,697.25,722.92,651.06,708.86,585.95,554.06
1974,708.65,653.25,473.57,831.62,780.10,1120.02,1162.79,577.18,649.94,679.01,621.67,679.95,647.62,579.54
1975,657.05,797.61,546.78,729.76,567.05,858.55,831.39,524.40,748.39,706.32,624.97,544.94,714.23,643.07
1976,770.58,695.06,606.70,883.53,794.71,1129.27,1140.86,604.43,964.00,777.29,712.24,699.02,688.62,731.26
1977,487.63,546.77,384.79,529.45,448.92,703.65,691.32,375.48,666.74,496.62,435.41,405.47,494.69,469.92
1978,769.32,698.51,625.24,935.48,723.05,1173.64,1142.43,581.45,845.04,828.12,732.76,703.98,774.45,759.27
1979,837.88,791.45,536.34,1017.76,920.02,1392.69,1417.57,649.85,802.20,776.54,709.01,808.06,666.29,695.99
1980,791.27,739.97,587.78,963.45,806.96,1205.84,1211.37,607.57,756.68,802.65,723.61,757.56,688.95,633.87
1981,733.39,662.47,541.33,926.45,696.79,1168.72,1135.44,530.01,858.35,766.58,656.69,662.82,870.19,796.18
1982,754.29,574.67,500.97,911.88,821.45,1148.90,1246.83,604.91,771.90,733.06,679.32,768.28,594.74,611.87
1983,673.55,618.29,466.03,782.12,708.68,953.45,999.82,537.48,812.92,693.33,583.61,610.21,554.19,576.99
1984,620.02,578.64,485.77,721.70,592.07,915.34,919.11,451.39,796.69,654.96,582.77,554.08,661.69,672.86
1985,608.10,430.72,467.47,780.80,617.90,1034.93,1032.49,412.95,714.51,672.00,555.75,559.59,486.35,552.25
1986,661.64,517.89,425.37,834.31,681.86,1033.94,1028.62,484.51,767.93,747.74,562.94,615.36,595.67,514.39
1987,741.89,644.34,530.02,873.87,796.30,1131.51,1185.08,581.97,718.33,759.87,664.91,719.09,606.88,520.51
1988,652.24,578.40,586.59,801.60,552.08,924.15,885.65,448.09,860.81,812.52,628.12,544.47,643.39,688.57
1989,456.23,493.50,290.90,475.74,548.52,643.17,718.05,400.89,529.47,365.47,359.53,436.33,381.80,407.18
1990,564.78,537.25,373.83,699.08,590.90,930.57,898.40,455.43,497.28,576.75,486.89,523.77,438.21,363.21
1991,660.79,587.23,521.53,758.39,665.61,868.78,935.89,527.01,718.99,694.45,633.78,632.01,460.69,531.42
1992,505.44,500.72,323.63,531.94,604.14,682.28,774.84,449.49,497.23,461.05,423.80,491.20,350.37,358.85
1993,546.33,454.39,416.55,697.97,560.28,921.17,920.20,371.84,608.16,571.05,495.44,491.46,492.02,503.03
1994,735.63,619.66,566.01,844.93,753.49,1035.47,1136.97,551.23,941.08,745.48,684.30,697.97,638.11,715.85
1995,682.70,734.04,448.98,787.23,748.50,1073.47,1114.35,569.38,534.97,634.40,589.97,627.81,633.07,496.51
1996,755.53,641.29,555.89,964.63,740.64,1298.48,1214.70,516.41,937.47,808.09,681.38,669.79,643.61,697.02
1997,610.98,678.58,458.15,711.16,569.68,901.03,874.93,465.38,747.71,629.84,539.51,516.53,664.66,624.42
1998,652.46,767.26,449.72,703.81,656.21,929.74,982.34,541.60,786.23,598.34,541.02,563.97,779.94,708.56
1999,670.17,629.02,449.38,805.58,747.63,1096.13,1109.68,536.55,613.99,617.25,586.12,639.68,594.15,515.58
2000,427.20,433.11,284.38,493.21,453.42,714.45,703.33,311.93,574.07,436.10,328.64,362.00,433.96,440.33
2001,587.26,570.37,481.96,684.20,541.98,831.30,796.83,428.89,769.97,697.72,527.85,484.58,710.34,657.54
2002,820.54,774.75,677.29,874.35,848.52,1070.82,1152.17,695.85,894.07,844.57,765.64,781.45,797.78,729.15
2003,727.34,635.96,591.09,838.65,697.57,1075.05,1043.84,543.79,1024.56,823.01,647.27,634.70,674.35,777.63
2004,640.14,551.24,457.11,736.26,702.72,952.16,998.45,491.07,781.54,629.67,570.36,599.30,570.61,611.07
2005,723.47,759.05,528.22,828.09,697.62,1084.15,1060.98,594.13,770.80,735.47,638.44,653.38,724.17,627.75
2006,715.62,667.81,524.32,816.48,751.00,1057.89,1101.49,578.17,783.59,699.26,642.32,679.92,575.28,593.22
2007,670.27,659.30,458.21,753.49,727.29,1006.23,1041.31,577.52,680.58,619.33,573.91,633.16,560.85,567.72
2008,578.78,478.86,393.55,704.65,640.14,964.98,976.75,437.14,579.36,576.13,510.96,554.90,427.76,397.82
2009,893.11,780.49,668.93,1105.55,903.23,1450.52,1435.04,653.31,905.71,938.74,818.32,836.48,884.79,818.58
2010,713.33,789.64,454.15,769.62,820.92,1110.58,1179.87,613.29,685.30,594.67,588.26,663.31,694.81,625.21
2011,635.48,574.21,522.34,778.49,549.24,964.17,903.17,434.42,848.03,737.67,592.92,569.79,628.91,605.08
2012,721.70,695.79,531.14,846.15,704.88,1081.70,1105.56,548.01,913.96,725.21,635.83,643.62,777.57,732.87
2013,648.13,600.42,509.78,806.53,612.17,1060.57,1012.18,462.99,698.84,710.62,595.46,574.56,714.56,636.52
2014,917.09,944.07,635.80,1055.67,956.31,1348.05,1420.60,755.28,807.99,880.77,819.13,880.60,780.12,680.34
2015,739.26,766.00,530.36,811.55,764.61,1038.00,1093.01,632.56,762.85,690.14,660.12,713.55,668.00,646.50
2016,680.16,649.07,461.55,755.95,779.77,987.22,1065.44,582.91,675.95,621.01,584.71,654.85,580.17,514.88
2017,698.81,753.93,484.06,779.54,724.58,1003.25,1052.29,603.18,675.89,656.81,605.41,643.58,672.15,586.66
2018,741.91,736.60,521.52,839.79,732.89,982.40,1052.49,603.83,807.32,740.90,675.46,726.75,688.60,602.01
2019,836.77,561.56,672.39,1081.76,806.91,1335.26,1327.15,545.85,1062.07,991.24,789.71,770.62,744.93,758.09
2020,660.81,606.94,469.09,703.94,730.11,893.69,993.28,544.21,855.65,624.15,573.45,634.56,536.82,564.80
2021,719.79,820.66,485.97,788.96,755.85,1063.82,1106.36,649.06,682.99,613.95,613.10,658.51,685.92,559.92
