Variable:,pr
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
1953,567.91,588.27,541.66,415.34,613.82,576.72,558.96,622.20,586.20,603.60,585.04,620.44,598.08,530.52,601.32,508.37,509.52,502.64,450.96,596.93,678.70,642.13,618.17,582.78,568.86,454.50,554.19,583.46,570.22
1954,750.94,768.82,620.73,588.94,834.37,711.83,653.10,766.35,739.28,818.58,831.57,817.28,783.99,750.20,786.12,727.97,727.56,672.39,660.54,783.30,881.36,854.89,828.72,772.55,762.15,601.10,765.72,819.56,811.60
1955,833.75,889.60,763.33,684.62,900.08,822.69,793.66,870.67,880.77,860.72,826.85,917.80,889.29,762.80,878.45,788.78,788.06,769.12,730.25,862.39,1018.56,929.07,893.27,854.56,837.83,702.59,818.80,811.61,811.72
1956,735.99,771.85,675.63,576.91,799.52,761.09,715.90,788.32,760.23,771.28,742.85,813.91,775.15,678.51,782.47,679.20,680.37,668.81,611.95,761.07,890.82,824.11,790.88,763.18,721.78,602.20,716.74,719.32,729.89
1957,706.86,759.51,572.31,540.72,775.11,638.50,600.28,671.13,792.92,788.65,786.59,794.66,824.42,698.59,737.61,666.67,675.92,625.91,619.51,698.31,789.69,862.64,847.64,705.23,686.93,549.63,699.21,741.42,766.60
1958,524.24,519.88,539.72,481.28,538.87,568.46,536.37,609.98,496.13,512.43,504.87,549.27,496.01,471.44,536.74,501.60,482.94,499.64,485.54,566.07,636.20,531.11,496.75,535.78,528.22,470.08,509.91,502.94,500.55
1959,664.97,698.76,639.29,507.85,733.38,653.42,640.44,687.86,707.30,706.50,661.71,735.62,713.58,608.88,719.44,618.65,608.62,601.89,545.44,687.86,795.18,746.66,709.08,693.02,667.99,551.82,646.16,634.50,643.55
1960,759.08,792.72,668.24,559.75,834.27,764.17,724.83,814.09,800.79,808.88,784.77,848.25,820.64,703.41,817.59,697.36,692.58,686.79,616.22,805.97,928.25,867.11,830.15,798.20,767.01,596.80,740.33,737.51,761.59
1961,641.08,650.41,541.15,489.51,711.36,659.17,598.87,715.88,651.93,695.22,640.99,712.18,685.70,610.38,698.85,586.51,606.85,580.92,531.88,676.39,798.81,723.72,700.80,675.15,671.00,509.88,658.61,557.11,644.22
1962,649.86,704.54,625.45,516.02,662.12,694.06,645.95,761.44,697.38,638.48,640.63,684.10,694.61,573.59,670.34,577.20,569.72,599.39,528.14,704.95,801.31,707.92,683.47,675.45,639.07,561.17,623.37,610.90,629.20
1963,677.08,758.54,653.78,531.24,721.91,711.09,683.64,745.76,724.80,686.42,658.76,753.23,712.96,592.94,709.90,595.39,590.85,606.16,542.64,719.99,843.93,747.99,710.43,701.37,649.51,582.54,641.61,606.20,647.68
1964,629.78,656.41,577.07,529.85,657.89,613.96,575.34,651.08,669.91,637.12,653.39,669.77,687.93,582.63,646.08,640.09,627.93,597.13,595.55,619.46,755.68,695.07,677.46,612.04,630.17,549.42,612.05,673.33,626.93
1965,554.26,559.73,604.10,497.17,567.45,577.09,583.98,600.55,539.80,529.60,534.20,574.13,542.37,471.98,542.58,558.45,526.95,552.34,512.27,590.21,659.34,565.97,541.02,551.15,564.44,528.82,527.41,562.91,507.86
1966,832.71,764.82,879.89,736.12,894.34,866.24,873.15,892.89,768.76,842.30,794.15,857.25,780.91,762.31,844.25,830.34,807.90,847.45,762.40,923.50,964.80,839.37,793.20,872.11,889.73,802.15,839.22,770.53,779.33
1967,575.66,660.32,532.56,482.26,586.17,568.93,537.69,612.77,656.51,567.81,582.58,624.98,642.37,509.38,581.05,535.54,521.14,535.07,513.34,584.76,690.03,649.45,629.65,565.30,559.55,504.57,534.05,596.23,556.64
1968,601.49,673.14,560.16,473.59,623.60,612.29,566.36,667.09,663.72,613.12,628.87,657.10,676.62,542.79,614.83,543.52,547.60,522.50,502.60,600.58,739.16,682.15,664.80,592.42,566.32,485.47,567.54,637.27,597.58
1969,688.87,713.41,583.11,624.70,740.97,638.27,605.09,682.08,686.30,736.70,709.98,738.43,713.09,687.41,688.72,730.93,724.14,677.92,677.39,675.69,801.51,748.88,717.93,663.77,748.00,616.62,712.46,713.66,698.79
1970,660.45,660.20,618.50,569.83,710.30,585.26,594.39,620.98,686.15,707.01,703.12,701.57,697.78,657.30,645.49,710.94,689.64,649.69,648.88,641.65,727.18,735.12,703.27,617.75,689.24,585.56,664.61,732.82,687.98
1971,750.37,772.78,703.41,598.50,827.53,772.81,727.89,832.00,753.97,778.72,717.60,820.58,754.01,694.83,792.69,716.98,725.41,710.00,670.15,789.46,935.13,801.17,758.86,781.01,772.47,651.35,754.43,671.31,717.42
1972,661.15,717.56,570.97,569.62,701.41,607.98,574.44,648.74,718.67,693.60,682.47,719.80,724.28,636.76,683.53,664.89,651.19,636.24,635.45,649.46,766.58,744.43,716.53,641.85,669.64,577.82,651.89,675.90,678.37
1973,668.34,745.82,619.08,529.97,701.29,655.24,639.43,683.23,757.28,669.40,667.80,719.25,751.99,593.54,685.12,631.39,618.67,614.53,564.02,710.79,801.97,758.10,734.37,679.19,667.44,568.78,653.52,637.25,654.78
1974,597.84,683.68,515.53,478.08,613.76,592.19,536.32,654.05,677.03,610.47,630.92,668.26,670.26,550.01,619.19,534.89,534.02,530.72,521.47,582.04,744.43,685.15,662.66,580.32,573.00,488.47,559.92,672.46,597.29
1975,729.63,689.15,729.47,556.81,781.64,747.21,722.35,820.74,728.89,751.13,738.57,776.76,766.56,678.44,771.92,681.90,675.11,688.46,614.59,773.65,911.77,793.38,772.14,745.90,720.87,633.18,707.45,719.60,727.27
1976,666.02,781.65,563.92,452.41,676.77,631.26,562.96,708.29,824.10,707.63,743.93,772.58,840.71,639.80,701.66,557.65,571.25,538.45,499.49,611.62,834.23,835.26,828.36,629.12,598.71,491.43,606.55,725.20,721.66
1977,617.57,582.73,564.05,519.88,684.85,595.27,584.13,621.36,601.91,659.54,626.26,663.46,631.98,584.46,664.42,606.50,591.81,593.68,564.50,670.10,722.85,674.58,647.12,656.33,628.81,549.25,620.99,630.47,612.33
