Variable:,pr
,Denmark,Aarhus,Bornholm,Frederiksberg,Fyn,Nordjylland,Ribe,Ringkoebing,Soenderjylland,Storstroem,Vejle,Vestsjaelland,Viborg,Frederiksborg,Koebenhavn,Roskilde
1976,522.47,451.18,487.72,454.13,427.69,512.18,599.19,616.52,572.30,414.81,543.60,404.33,590.84,418.91,426.89,413.26
1977,686.74,610.63,596.94,615.74,573.15,676.92,782.26,792.30,765.33,546.23,708.79,542.12,763.68,567.39,578.22,546.98
1978,653.19,571.21,567.89,577.84,573.46,594.64,784.91,753.80,763.87,544.90,713.79,534.60,689.05,534.80,544.03,520.01
1979,760.03,678.57,590.78,642.06,625.12,722.98,894.15,896.67,837.38,579.02,820.70,588.89,843.84,599.26,608.85,581.09
1980,826.25,747.98,647.32,754.71,738.38,727.04,1000.25,938.48,973.93,675.12,912.89,693.86,850.55,712.06,719.77,679.98
1981,843.02,758.44,719.70,787.69,750.02,763.42,980.13,948.93,963.43,718.54,910.77,720.61,883.58,742.80,751.91,726.28
1982,712.12,636.68,512.13,634.13,582.87,686.46,829.85,833.01,775.62,516.82,760.70,554.88,797.96,590.82,599.84,555.36
1983,725.17,651.63,598.80,657.37,629.11,671.58,850.53,826.79,832.75,594.46,774.28,596.49,775.81,609.70,620.99,591.31
1984,756.64,665.63,564.53,674.87,660.15,705.25,883.82,865.17,864.08,618.52,798.02,622.66,820.16,639.33,645.66,620.55
1985,775.46,702.64,633.03,739.71,670.80,722.83,887.82,879.21,860.68,636.87,824.25,660.25,828.94,696.04,704.64,663.97
1986,676.24,574.34,578.73,609.97,608.31,620.59,795.00,775.37,794.30,572.16,717.49,558.69,728.91,567.09,577.05,555.82
1987,738.77,644.31,598.06,641.68,654.05,687.33,870.74,845.47,863.12,619.07,781.01,601.87,793.67,605.86,612.83,594.84
1988,832.49,744.06,662.68,727.26,707.62,786.31,972.06,968.41,950.13,635.83,886.17,656.31,913.20,677.01,687.12,647.32
1989,606.71,523.55,490.26,541.61,544.92,557.25,712.73,691.79,711.21,512.97,646.23,507.72,645.80,510.50,517.42,497.57
1990,813.40,712.74,576.70,665.21,686.54,772.25,961.80,959.77,938.41,614.40,853.93,628.84,900.12,631.23,633.85,612.96
