Variable:,pr
,Croatia,Bjelovar-bilogora,Dubrovnik-neretva,"Grad Zagreb",Istra,Karlovac,Koprivnica-krizevci,Krapina-zagorje,Lika-senj,Medimurje,Osijek-baranja,Pozega-slavonija,"Primorje-gorski Kota",Sibenik,Sisak-moslavina,"Slavonski Brod-posav",Split-dalmatija,Varazdin,Virovitica-podravina,Vukovar-srijem,Zadar-knin,Zagreb
1955,1281.16,1013.13,1382.88,1277.94,1392.02,1660.74,942.03,1198.06,1692.04,1007.43,902.82,1119.35,1768.15,1249.47,1266.53,1107.19,1220.69,1096.56,987.39,948.75,1345.16,1252.78
1956,1008.69,787.13,1061.78,999.73,1077.31,1290.65,766.07,1021.01,1333.73,850.03,671.10,842.12,1348.47,1061.69,985.20,833.35,1013.84,924.92,736.07,705.88,1096.49,982.29
1957,957.08,772.71,1099.23,1014.68,1048.06,1260.88,742.09,985.72,1219.18,816.00,604.99,768.70,1326.23,965.15,940.59,754.78,970.18,886.36,689.59,628.72,1019.75,988.97
1958,1042.85,795.22,1258.81,1081.01,1189.28,1358.00,784.40,1093.46,1404.10,884.64,607.87,768.21,1456.18,1108.40,1014.40,754.82,1098.20,971.17,695.62,628.65,1162.80,1051.53
1959,1184.02,950.06,1367.49,1235.20,1323.65,1486.38,866.01,1130.96,1511.09,932.01,760.49,980.09,1628.10,1224.66,1190.47,965.28,1262.95,1013.60,865.64,768.42,1275.94,1205.08
1960,1349.03,977.94,1373.32,1281.95,1702.08,1835.90,932.81,1202.76,1974.40,999.94,771.36,984.22,2073.63,1436.10,1238.19,966.46,1315.40,1084.38,907.80,762.22,1589.64,1256.06
1961,1043.22,796.81,1055.50,1057.18,1219.62,1410.96,752.31,1009.62,1490.61,828.66,594.73,781.57,1558.80,1071.37,1011.10,767.58,1026.30,905.53,690.18,582.88,1168.28,1036.72
1962,1153.28,1006.69,1209.71,1365.45,1157.45,1581.92,964.11,1345.62,1485.19,1087.35,659.57,893.77,1542.83,1080.18,1241.22,872.39,1083.42,1205.10,823.12,649.50,1158.08,1326.59
1963,1120.65,876.43,1308.37,1180.66,1214.99,1509.14,837.98,1127.42,1429.67,919.05,712.53,907.87,1533.76,1127.93,1126.39,896.34,1146.31,1003.86,795.93,737.56,1187.36,1148.72
1964,1229.36,1007.53,1309.13,1246.74,1247.83,1576.27,949.68,1186.91,1571.52,1003.02,829.24,1077.52,1597.67,1259.50,1246.20,1063.46,1266.33,1072.63,942.94,848.39,1322.28,1223.43
