Variable:,pr
,Lithuania,Alytaus,Kauno,Klaipedos,Marijampoles,Panevezio,Siauliu,Taurages,Telsiu,Utenos,Vilniaus
1993,693.42,675.94,669.88,765.61,662.79,649.75,694.99,748.69,784.48,669.72,691.17
1994,673.57,639.76,640.09,768.22,632.42,627.22,668.52,741.81,779.72,656.75,672.77
1995,697.11,632.11,663.03,784.72,652.18,671.61,718.79,769.14,812.69,685.37,666.64
1996,547.21,526.70,504.89,587.98,486.15,544.02,542.90,563.19,608.07,564.40,565.35
1997,688.60,637.21,643.07,779.55,635.42,666.83,683.38,745.51,784.37,701.47,681.39
1998,782.21,721.66,745.01,886.16,738.93,728.16,782.43,865.31,898.79,769.45,783.70
1999,645.41,591.59,608.23,802.46,614.11,580.95,681.25,750.60,810.95,579.30,593.18
2000,623.75,568.68,581.25,682.16,567.91,610.47,625.32,664.06,703.45,649.83,625.70
2001,756.43,674.56,699.76,899.93,694.01,721.67,788.39,846.62,917.62,731.32,714.96
2002,614.09,574.68,586.01,703.42,586.54,570.92,645.50,702.36,738.14,569.64,576.09
2003,628.95,586.62,594.07,724.28,596.16,589.08,633.82,690.23,728.11,614.40,618.18
2004,694.16,663.86,656.84,769.48,647.88,656.36,681.52,748.58,778.23,695.54,709.83
2005,644.09,619.95,607.61,698.75,602.66,612.18,654.98,680.75,723.59,639.76,651.43
2006,609.80,576.04,579.70,675.66,574.51,587.81,598.41,659.63,688.17,613.58,607.59
2007,753.47,692.43,720.80,927.88,736.30,669.64,808.79,894.22,944.28,663.14,674.22
2008,683.25,658.18,640.59,802.66,648.95,613.20,699.26,766.97,822.44,646.62,663.53
2009,730.65,726.31,683.93,784.65,676.71,693.14,705.01,770.14,805.86,751.33,763.66
2010,851.14,796.72,810.58,962.93,815.20,805.31,876.15,936.24,987.31,821.96,816.32
2011,659.53,594.20,621.49,798.95,636.32,597.96,709.30,764.29,825.83,604.46,594.92
2012,786.07,701.14,723.20,919.50,710.35,750.75,813.57,868.62,947.45,776.92,758.97
2013,686.89,674.32,658.62,762.46,647.76,649.30,680.04,744.96,767.05,669.11,690.07
2014,646.80,588.31,606.28,725.04,594.16,633.15,662.10,697.30,747.92,644.72,631.80
2015,575.75,545.83,536.92,671.91,535.62,540.31,577.75,641.04,674.37,556.60,566.75
2016,763.94,738.39,723.22,865.22,735.98,709.79,763.52,855.20,874.46,734.63,753.83
2017,837.48,785.94,788.20,970.75,781.88,791.77,837.40,922.27,973.44,819.38,822.50
2018,580.61,561.76,546.40,657.88,542.88,545.70,573.96,631.22,655.46,574.39,583.92
2019,613.89,547.49,567.64,742.07,564.10,585.20,630.52,678.20,747.33,597.46,582.54
2020,636.34,585.68,600.13,721.97,608.45,603.49,654.57,702.80,736.84,622.11,612.63
2021,709.01,682.94,682.96,756.01,679.40,675.94,706.53,769.93,767.10,706.49,716.68
