Variable:,pr
,Germany,Baden-Wuerttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thueringen
1987,823.07,929.15,902.67,679.77,673.49,821.19,810.23,827.97,676.92,830.30,900.36,852.07,882.95,733.44,671.35,834.43,780.86
1988,800.10,972.58,907.70,581.81,585.29,836.46,841.83,769.75,626.04,814.00,883.46,854.25,907.61,666.02,576.49,885.19,699.10
1989,637.01,729.07,747.02,450.12,454.13,672.69,649.37,625.61,490.18,647.41,703.77,682.71,728.40,526.49,467.82,684.11,573.22
1990,734.15,851.73,820.61,597.50,581.29,793.07,815.66,693.50,617.64,774.95,761.61,732.08,775.25,583.77,578.15,865.39,650.98
1991,604.17,674.80,706.95,482.02,476.21,656.21,667.29,533.48,545.54,631.69,636.16,558.21,583.77,504.38,454.86,708.38,531.51
1992,735.03,863.20,798.95,553.13,545.37,753.69,722.31,763.24,553.46,767.26,831.59,739.23,733.87,622.37,603.67,763.26,716.29
1993,793.47,844.16,848.16,666.63,661.80,874.18,869.10,768.10,686.39,861.25,883.93,773.28,783.41,683.58,640.73,893.51,724.01
1994,789.20,873.58,806.98,663.46,660.89,882.85,874.50,746.82,690.44,874.60,860.98,730.24,759.78,689.71,680.92,931.23,744.50
1995,781.44,962.23,894.48,616.60,610.35,748.78,724.26,764.99,607.36,760.51,832.54,802.14,873.96,708.80,608.80,741.46,747.42
1996,622.39,779.94,760.76,500.84,502.75,553.48,529.98,615.24,473.53,573.73,614.33,594.39,645.54,573.59,502.31,542.67,606.60
1997,665.63,749.12,715.83,568.64,564.18,670.26,653.65,654.84,551.76,678.42,728.45,708.84,754.65,617.74,537.76,666.54,613.89
1998,808.89,826.17,823.87,670.56,666.67,914.64,868.38,799.43,706.87,901.29,971.06,781.10,770.06,709.59,652.44,912.81,775.19
1999,768.89,984.13,874.58,553.87,535.43,785.14,745.88,767.52,563.97,769.33,874.56,818.38,872.70,598.09,545.39,818.78,709.18
2000,757.74,855.85,857.99,607.39,596.14,724.70,698.88,760.37,581.05,744.14,891.57,842.86,893.50,636.85,576.27,729.42,695.05
2001,812.38,969.20,892.29,606.61,611.76,824.18,794.93,815.20,640.62,815.30,937.40,891.96,931.83,702.62,607.21,831.02,726.45
2002,910.58,1101.45,1013.39,690.95,696.51,933.45,914.66,920.64,720.34,928.45,963.03,902.71,927.25,794.25,730.18,947.13,868.43
2003,568.34,612.20,597.42,461.28,452.58,614.71,602.16,567.38,470.58,608.13,650.90,582.70,602.24,482.53,470.73,632.27,549.68
2004,731.39,783.74,765.18,589.05,584.58,815.03,783.72,701.57,609.92,800.88,836.78,707.33,720.74,664.33,605.26,824.38,713.05
2005,718.19,788.47,821.93,598.48,600.12,738.77,708.79,675.68,585.13,735.84,773.18,650.85,651.61,680.82,595.24,721.74,699.35
2006,700.73,873.03,772.65,531.23,525.91,701.46,702.64,691.04,547.55,705.00,760.91,738.76,817.75,591.89,546.29,739.48,657.35
2007,885.79,894.32,897.52,799.63,785.91,967.82,968.09,851.12,817.47,973.15,972.19,829.21,856.77,800.19,793.44,988.93,889.32
2008,720.15,813.92,757.90,573.49,574.09,758.76,739.29,708.55,594.51,752.65,832.37,762.86,794.61,638.11,562.26,781.76,664.45
2009,751.49,847.78,828.55,617.18,615.10,733.22,713.21,770.12,588.59,746.62,811.57,764.65,800.32,710.79,619.68,743.93,755.27
2010,789.24,881.17,861.00,702.48,697.18,769.33,772.36,754.59,669.55,763.73,816.97,787.82,829.09,819.74,651.41,820.12,786.56
2011,677.60,737.83,744.57,561.47,564.36,765.84,758.60,616.83,604.91,717.07,725.62,636.79,657.98,618.14,526.09,809.82,610.05
2012,726.41,874.15,808.80,581.73,586.88,713.86,699.89,689.35,564.73,715.34,807.59,752.98,801.03,676.68,562.50,735.79,667.87
2013,741.73,882.68,836.79,634.52,627.53,693.62,700.56,713.42,600.72,704.38,754.48,755.85,841.08,720.85,613.50,723.87,725.13
2014,713.49,811.10,782.90,561.30,560.43,725.77,713.25,725.95,589.29,715.00,799.84,746.03,773.59,627.49,536.70,779.51,672.48
2015,655.25,664.55,684.76,532.72,528.68,800.41,771.97,595.58,579.22,751.12,752.85,613.92,618.44,564.59,526.43,841.70,583.72
2016,713.24,885.36,851.03,507.89,514.84,688.16,656.04,693.55,512.67,687.30,796.64,753.83,790.31,608.93,520.38,695.58,648.75
2017,814.74,860.02,862.78,721.56,722.00,916.53,938.35,726.11,769.14,895.60,850.51,718.55,737.81,735.96,697.49,994.05,736.95
2018,571.21,674.55,712.57,399.15,398.72,555.76,532.83,555.83,418.58,538.61,642.27,625.42,669.47,462.88,389.39,581.12,503.47
2019,676.23,814.31,766.85,508.93,504.39,737.48,703.84,629.54,553.25,700.93,758.43,693.76,724.20,530.20,489.78,783.24,568.11
2020,661.60,719.21,803.43,502.79,506.80,711.35,671.68,598.62,533.74,673.81,716.18,629.97,656.34,583.03,493.64,733.77,596.76
2021,772.58,897.44,859.24,608.36,602.86,780.15,750.79,771.10,616.26,775.79,863.96,788.72,796.27,676.67,605.02,799.60,740.97
