Variable:,pr
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
2010,1586.25,1938.55,1938.25,1602.37,1374.72,1911.76,1702.55,1724.37,1172.90,969.83,1422.10,1403.15,1480.66
2011,1048.25,1324.88,1333.11,1006.89,967.47,1216.89,1100.46,1131.98,782.98,628.22,936.17,882.68,980.55
2012,1372.40,1751.25,1748.02,1319.07,1231.35,1628.67,1472.12,1489.31,1007.48,811.69,1206.81,1152.96,1266.25
2013,1591.09,2008.52,2029.85,1573.59,1370.95,1934.20,1751.39,1726.64,1149.57,895.66,1380.69,1371.63,1439.16
2014,1780.04,2190.28,2195.54,1774.40,1566.66,2089.36,1892.33,1902.72,1363.61,1093.76,1595.42,1609.38,1646.82
2015,1434.19,1798.49,1802.58,1403.88,1290.82,1701.39,1514.74,1552.43,1060.14,853.02,1277.77,1230.23,1333.62
2016,1698.73,2159.01,2160.41,1594.16,1553.34,1988.00,1801.57,1841.10,1278.46,1053.95,1512.18,1395.11,1579.82
2017,1545.10,1977.28,1988.29,1458.57,1400.09,1845.99,1650.19,1693.57,1129.18,893.38,1359.51,1244.56,1425.92
2018,1415.59,1752.57,1755.39,1366.83,1308.33,1666.86,1480.58,1543.17,1063.99,868.23,1278.77,1212.30,1339.24
2019,1618.71,2043.74,2075.56,1586.39,1408.89,1954.59,1753.63,1751.83,1174.06,933.18,1410.56,1382.61,1471.79
2020,1588.68,1994.53,1959.88,1503.54,1503.68,1820.30,1645.65,1726.96,1219.29,965.80,1470.63,1341.18,1537.16
2021,1300.80,1601.07,1606.49,1298.00,1176.04,1541.06,1353.56,1409.27,974.40,783.10,1169.71,1148.48,1220.17
