Variable:,pr
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
1940,894.86,855.21,1141.78,972.44,788.75,840.40,908.15,702.59,836.07,729.49,1100.04,716.45,623.57,826.74,1062.44,933.68,948.19,750.28,732.58,679.43,874.72,896.49,1132.81,2791.89,2220.13,1695.95,1662.30,1538.61,1560.31,1605.10,1564.99,1418.89,1670.70
1941,895.80,725.04,1088.77,911.05,766.64,836.58,856.19,716.43,819.47,874.35,975.78,731.51,673.24,936.56,1036.37,840.40,1027.19,733.86,758.49,702.07,871.42,1118.54,1034.04,2950.62,2486.94,2151.94,1350.20,1538.61,1560.31,2129.05,2075.32,1876.92,2216.90
1942,771.94,670.86,884.97,761.03,769.65,710.99,827.47,685.71,732.21,669.57,852.04,742.82,652.12,776.00,876.08,753.95,822.04,744.32,703.69,711.21,758.15,763.04,841.51,2930.67,2431.83,2533.22,1172.80,1538.61,1560.31,2557.84,2498.48,2270.89,2654.90
1943,759.07,583.65,944.66,745.98,647.25,647.96,781.13,579.48,691.11,772.49,800.11,596.18,531.92,884.88,849.48,716.18,926.16,656.50,618.89,613.91,726.65,913.96,863.00,3143.47,2704.26,2011.39,1227.90,1538.61,1560.31,1908.06,1855.86,1666.97,1993.40
1944,798.04,759.67,852.95,848.70,728.96,808.60,776.24,660.98,835.45,554.64,1010.80,710.71,646.00,783.52,911.13,889.48,848.29,762.43,647.74,718.39,731.98,757.35,970.53,2970.64,2464.60,2273.87,1211.10,1538.61,1560.31,2194.32,2135.13,1923.62,2291.10
1945,649.90,678.42,816.68,605.24,606.17,550.32,759.05,484.54,653.05,475.57,762.70,561.50,487.69,604.60,693.61,730.10,690.60,670.17,556.65,610.19,609.30,684.89,739.08,3044.81,2556.88,2158.16,1178.50,1538.61,1560.31,2097.12,2039.21,1829.77,2191.80
1946,752.93,697.22,840.71,700.74,799.54,621.85,941.98,559.46,717.87,778.66,860.58,742.80,548.89,737.61,782.90,770.24,787.49,808.25,680.50,705.44,692.62,824.42,864.36,3069.92,2623.50,1872.52,1093.10,1538.61,1560.31,1755.22,1706.97,1538.70,1834.10
1947,751.42,594.27,936.32,734.01,675.13,679.81,798.92,583.40,726.23,781.84,850.72,620.98,545.97,728.56,851.79,756.18,844.89,631.42,641.01,594.39,717.47,869.55,872.43,2768.57,2191.11,1698.20,1420.00,1538.61,1560.31,1548.19,1502.87,1348.20,1622.30
1948,777.31,740.28,747.77,792.44,695.34,721.42,828.98,580.92,831.89,603.03,964.80,651.40,604.56,805.28,808.65,879.22,765.50,774.62,637.39,720.18,666.13,988.82,993.77,3253.83,2885.14,2595.59,1388.10,1538.61,1560.31,2752.14,2686.79,2441.88,2859.00
1949,646.76,489.84,869.70,595.93,603.88,500.07,726.48,479.78,565.84,717.93,644.49,540.82,437.04,699.05,739.08,610.63,749.89,569.05,572.45,510.84,670.16,782.47,705.27,3282.59,2993.51,2157.78,1156.70,1538.61,1560.31,2033.52,1975.61,1778.66,2128.20
