Variable:,pr
,Poland,Dolnoslaskie,Kujawsko-Pomorskie,Lodzkie,Lubeiskie,Lubuskie,Malopolske,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Slaskie,Swietokrzyskie,Warminsko-Mazurskie,Wielkopolskie,Zachodnio-Pomorskie
1956,612.47,687.43,566.64,565.39,554.94,610.95,658.21,577.66,653.67,530.19,651.00,672.28,681.56,557.29,684.17,559.87,650.87
1957,604.66,645.46,582.92,577.13,517.30,553.02,704.26,565.73,626.26,577.14,634.07,649.83,701.10,567.26,705.48,561.32,592.52
1958,673.34,750.62,607.04,611.81,627.04,638.75,854.73,604.80,724.30,707.88,677.48,698.41,811.20,659.43,701.59,607.64,671.37
1959,504.44,491.02,445.66,444.13,489.35,451.50,696.25,463.72,515.83,576.78,500.31,526.35,635.95,541.32,532.40,420.33,504.80
1960,715.28,708.44,614.55,681.94,708.55,600.57,961.03,690.38,729.59,816.45,746.19,683.15,873.56,783.27,758.76,598.32,670.66
1961,596.40,658.99,609.54,581.48,428.78,656.15,702.52,527.57,623.14,498.55,521.63,666.14,698.03,574.68,653.15,614.71,673.63
1962,628.67,614.22,558.50,613.87,617.00,517.08,848.90,611.17,659.35,682.60,619.27,623.00,811.53,703.60,650.46,530.37,588.60
1963,547.38,598.66,500.58,504.70,485.92,480.48,712.80,486.98,605.63,571.25,524.48,583.42,682.05,565.84,603.98,497.53,530.20
1964,552.42,668.09,453.41,509.07,536.06,553.80,746.15,483.59,646.73,648.57,504.96,494.78,720.79,585.70,511.80,500.92,521.56
1965,641.63,654.61,562.52,596.80,619.84,586.51,900.78,596.80,645.43,772.28,575.53,646.08,802.13,712.29,657.65,528.92,633.23
1966,733.07,778.12,605.34,721.18,744.75,669.42,1030.29,703.78,819.19,869.84,672.58,622.94,974.97,858.27,710.88,615.10,645.89
1967,691.67,717.61,710.44,666.64,579.20,671.85,788.20,647.01,667.09,662.97,619.39,796.11,765.12,682.46,751.89,665.58,759.89
1968,641.00,689.99,569.79,601.28,633.55,588.63,872.23,563.98,714.24,749.22,518.28,658.39,827.67,714.31,594.41,575.05,657.13
1969,501.77,489.60,444.93,465.64,476.59,465.96,685.45,468.64,497.39,577.95,499.01,507.86,614.94,539.65,522.47,415.83,508.89
1970,745.44,717.35,682.60,734.56,703.94,593.83,970.88,749.29,752.90,803.05,773.88,770.00,885.99,798.10,843.09,610.29,680.80
1971,534.68,620.00,514.41,552.97,452.01,470.28,680.10,476.30,640.75,536.69,465.66,559.75,703.98,560.68,524.30,514.61,503.52
1972,614.19,580.73,535.30,581.71,613.65,462.70,845.09,623.48,655.66,662.52,676.03,606.99,785.50,666.43,711.23,474.93,505.86
1973,562.21,553.46,543.79,516.80,515.81,513.49,668.81,527.88,539.42,568.17,566.80,635.81,628.55,538.65,640.08,505.62,590.79
1974,751.61,769.66,685.28,714.35,716.34,687.99,967.68,708.89,767.12,829.62,749.14,755.72,900.26,790.36,780.77,667.91,718.75
1975,553.31,609.12,487.25,535.33,525.31,459.25,811.69,491.09,665.76,677.87,499.06,515.03,766.90,610.11,509.57,488.78,492.30
1976,541.96,620.99,501.26,519.83,491.00,477.09,715.98,480.08,618.92,613.70,482.14,554.08,680.91,544.61,534.23,512.01,513.56
1977,661.97,789.80,601.93,657.05,591.09,643.54,805.07,618.50,781.05,638.20,631.95,649.29,842.26,652.79,656.70,614.60,629.30
1978,635.75,612.19,614.05,594.02,563.55,581.07,766.22,603.40,612.82,674.61,630.25,711.62,712.32,632.89,745.83,557.47,649.50
1979,597.66,629.21,519.33,557.82,564.00,538.24,779.68,551.57,623.85,671.27,594.73,594.73,729.77,623.47,638.13,517.20,593.64
1980,680.05,660.17,629.96,588.35,669.16,598.32,837.77,625.62,635.59,797.54,698.58,761.47,756.66,685.49,767.57,572.92,693.50
1981,692.50,793.91,668.18,669.86,576.39,669.74,787.33,610.16,747.01,655.95,616.68,784.61,817.00,662.01,769.81,665.13,741.65
1982,445.25,444.59,395.38,411.28,397.49,370.85,613.76,412.00,476.89,492.65,467.98,462.32,582.16,462.74,475.11,375.97,435.68
1983,544.25,553.30,469.72,486.35,509.78,518.96,711.09,483.61,532.34,625.99,531.46,595.28,638.21,578.69,599.12,451.52,578.60
1984,541.57,549.25,503.29,494.24,499.19,500.30,671.00,501.98,544.36,585.20,538.35,588.86,631.10,523.07,599.21,471.86,565.95
1985,639.06,650.09,576.58,606.81,611.60,512.44,865.41,591.88,700.83,733.45,614.27,657.14,818.72,678.66,675.86,548.81,595.39
1986,576.69,665.26,546.87,539.15,478.93,601.60,637.58,510.77,624.55,513.02,540.68,649.64,661.25,545.84,646.12,548.71,637.44
1987,618.83,683.05,593.53,581.74,493.72,625.82,774.05,529.73,659.37,627.23,529.75,683.00,754.47,620.12,684.08,582.16,684.00
1988,594.22,644.62,583.17,529.74,563.09,572.00,666.56,540.63,591.75,596.96,582.88,668.31,648.03,533.36,618.50,562.16,653.79
1989,502.90,476.09,423.59,417.65,470.53,411.97,756.82,459.10,488.42,609.52,537.37,523.34,636.33,552.91,589.73,392.11,473.14
1990,562.01,496.28,498.74,486.51,552.36,502.60,731.22,519.78,513.79,637.43,606.51,614.15,652.42,577.95,653.90,457.25,590.51
1991,522.38,514.03,486.57,479.64,453.06,440.80,711.25,451.78,555.17,590.12,459.02,603.83,673.07,548.19,584.11,448.67,559.92
1992,531.48,500.67,436.55,472.21,569.36,460.27,672.66,524.59,509.32,632.27,578.13,531.86,613.59,560.18,596.26,411.71,510.69
1993,582.60,647.88,584.70,525.44,469.47,636.86,617.94,510.00,560.66,521.40,580.03,661.98,607.05,501.55,646.87,592.74,689.51
1994,604.69,593.99,566.85,514.46,601.49,593.87,707.29,594.44,531.10,654.97,628.70,651.97,627.82,579.80,677.77,516.73,639.04
1995,570.44,632.26,526.95,476.03,532.02,557.91,674.52,529.02,563.33,589.19,596.94,616.04,615.99,506.33,639.88,502.87,614.55
1996,554.52,600.52,512.53,466.50,549.07,524.54,755.38,490.96,561.45,673.50,503.97,573.81,666.59,554.12,521.16,500.50,574.48
1997,621.64,683.23,583.50,523.83,615.90,587.82,757.36,568.86,620.13,712.24,605.42,647.36,693.66,601.64,660.01,563.57,615.18
1998,678.29,680.59,647.43,587.43,635.21,634.63,805.02,599.60,652.13,747.10,640.21,798.04,750.73,662.34,736.77,607.36,775.56
1999,608.39,590.04,576.09,562.13,552.94,497.03,836.93,545.06,622.91,687.31,556.63,683.08,771.77,646.51,653.00,530.30,622.99
2000,618.18,662.39,573.62,602.55,571.02,574.50,812.29,555.42,676.72,658.35,543.03,625.27,789.78,658.29,588.24,580.71,637.97
2001,701.48,757.04,657.22,679.31,631.09,608.19,930.65,626.18,774.58,763.55,616.15,744.81,889.18,743.64,729.33,640.99,682.91
2002,622.87,688.30,591.63,600.75,505.49,644.95,804.19,544.06,654.17,637.74,529.38,670.40,758.63,623.25,621.63,594.46,704.00
2003,488.42,467.85,450.09,448.53,448.67,404.25,619.63,452.53,497.67,523.39,510.55,538.59,590.23,504.55,581.06,408.07,482.55
2004,600.03,556.62,560.02,524.22,563.61,522.37,788.67,554.60,543.96,684.35,608.13,688.49,689.02,609.77,675.89,498.57,637.80
2005,571.81,624.91,492.08,526.14,495.26,559.16,813.11,490.22,627.66,660.89,534.40,565.07,750.33,597.44,579.24,507.17,586.52
2006,551.26,618.36,491.21,515.28,505.30,495.31,712.90,495.68,613.24,631.14,515.80,565.54,658.89,571.00,579.00,496.70,528.23
2007,668.17,671.53,636.95,606.29,559.01,687.18,822.63,582.56,658.57,683.25,619.91,755.81,775.58,655.07,733.21,611.76,794.82
2008,598.55,575.86,523.87,532.17,598.99,542.76,752.10,567.03,568.82,676.93,624.43,633.50,693.76,608.68,646.12,500.90,625.91
2009,677.52,712.61,599.07,627.82,683.74,608.95,877.71,641.63,709.85,751.23,686.10,656.20,815.88,718.89,690.45,591.05,635.96
2010,791.84,824.15,714.25,753.33,735.02,691.25,1100.89,747.35,815.02,906.35,741.74,787.22,973.05,841.00,834.66,696.39,737.11
2011,544.78,597.22,499.74,478.44,478.37,547.71,666.56,481.24,557.10,541.99,537.58,597.54,627.96,519.48,594.94,503.25,601.88
2012,605.24,655.99,579.30,534.85,539.44,605.78,687.55,549.32,591.32,585.65,607.02,690.47,658.91,565.08,680.24,561.73,656.87
2013,646.95,688.70,603.39,614.33,608.58,602.41,786.64,613.66,651.19,660.77,638.80,667.17,742.51,649.92,697.16,584.36,643.77
2014,627.32,671.25,576.31,601.41,551.61,554.92,868.48,553.81,714.90,692.45,554.75,660.88,832.16,678.14,622.73,556.23,633.35
2015,513.01,521.36,466.41,462.12,465.75,480.63,644.41,465.56,513.47,549.47,500.78,571.26,610.77,520.95,559.71,442.38,558.53
2016,669.36,662.87,604.50,647.25,641.77,535.20,892.59,656.87,707.59,753.44,699.39,662.31,845.27,721.74,768.84,543.71,552.98
2017,725.91,725.71,706.89,669.10,648.00,692.93,834.85,690.77,695.93,701.10,733.92,792.36,798.70,701.78,809.45,675.27,794.21
2018,506.45,474.57,441.53,469.90,519.43,383.04,687.15,493.35,524.92,601.46,527.26,520.82,634.13,556.15,574.08,394.75,437.63
2019,539.21,554.57,473.96,495.60,487.86,474.31,750.48,480.10,592.94,604.59,496.16,591.57,704.08,569.16,571.60,455.72,546.42
2020,622.07,644.39,544.44,608.60,580.81,497.94,884.77,579.55,715.19,719.51,571.63,624.96,843.27,691.44,656.73,509.89,559.46
2021,643.39,647.90,586.17,618.84,618.91,546.24,811.22,620.27,677.97,680.07,643.94,659.86,782.82,688.95,694.01,544.55,627.70
