Variable:,pr
,Portugal,Aveiro,Beja,Braga,Braganca,"Castelo Branco",Coimbra,Evora,Faro,Guarda,Leiria,Lisboa,Portalegre,Porto,Santarem,Setubal,"Viana Do Castelo","Vila Real",Viseu
1950,665.79,934.04,459.08,1159.54,567.32,628.37,787.25,498.44,465.70,668.68,724.18,642.71,557.13,1032.67,626.53,507.38,1285.83,916.03,878.25
1951,981.34,1308.48,631.03,1641.11,911.60,992.56,1186.69,691.11,647.43,1100.36,1079.89,941.67,815.39,1424.06,921.56,722.42,1826.65,1374.09,1314.07
1952,866.33,1156.16,611.09,1398.06,713.43,855.49,1043.01,671.69,607.96,884.97,989.43,875.75,761.85,1252.07,850.20,679.78,1545.56,1114.78,1114.32
1953,724.64,970.56,533.64,1111.97,578.09,733.57,865.42,556.76,582.74,731.29,821.76,737.97,624.12,1018.31,717.40,599.04,1204.35,892.53,927.25
1954,568.49,869.32,328.20,1111.66,553.25,548.92,705.66,345.85,365.46,633.41,584.72,480.28,409.34,972.71,481.89,369.09,1238.81,882.46,821.64
1955,1169.38,1528.85,758.42,1901.23,1089.46,1238.03,1441.79,796.05,816.11,1379.98,1279.86,1079.17,939.02,1664.46,1078.26,845.30,2097.86,1619.95,1597.92
1956,867.33,1214.84,549.93,1447.86,756.30,907.53,1101.61,595.64,600.55,974.53,980.42,815.41,695.71,1302.50,808.98,616.53,1593.39,1176.31,1197.57
1957,660.76,938.46,452.53,1084.35,556.27,666.52,818.41,492.27,477.80,705.11,725.32,613.17,561.21,998.37,614.84,490.88,1174.15,864.33,889.90
1958,875.26,1240.66,529.66,1562.06,843.09,900.02,1106.34,555.66,549.79,1037.06,935.63,757.19,659.88,1378.34,765.98,582.18,1732.17,1286.17,1254.16
1959,989.80,1398.34,570.04,1786.37,964.73,1015.32,1253.86,632.51,571.40,1141.16,1092.23,887.87,760.33,1551.53,896.52,664.23,2008.84,1471.79,1395.04
1960,1234.46,1583.22,834.37,2001.84,1098.17,1261.02,1489.27,913.31,845.29,1385.55,1357.54,1171.44,1053.62,1757.10,1167.70,923.36,2235.29,1675.30,1627.73
1961,939.89,1271.26,599.49,1622.94,938.86,936.96,1127.94,627.32,654.32,1104.95,990.58,827.56,726.18,1434.42,831.73,632.24,1768.86,1395.62,1295.87
1962,792.03,926.09,636.33,1206.61,686.95,787.97,869.03,619.85,694.96,850.27,840.77,765.74,688.22,1053.00,744.33,637.05,1339.56,1027.68,960.90
1963,1334.97,1740.16,930.56,2058.80,1125.92,1384.94,1606.52,984.10,984.60,1505.41,1499.14,1316.19,1131.74,1872.35,1284.44,1033.65,2218.35,1743.91,1772.30
1964,713.34,954.88,480.04,1154.29,620.75,738.07,867.66,515.17,504.67,792.73,802.40,687.37,595.27,1027.42,680.25,529.70,1271.84,955.01,943.86
1965,972.61,1308.31,635.31,1584.83,825.35,1006.85,1190.63,703.82,643.72,1075.45,1101.90,957.16,831.50,1418.08,942.30,730.08,1726.79,1311.30,1302.55
1966,1047.10,1510.42,523.71,1866.41,1032.55,1124.33,1320.49,681.10,497.98,1287.35,1166.23,946.84,844.25,1662.85,966.93,657.67,2035.79,1571.13,1528.27
1967,672.22,844.01,494.58,1036.81,544.01,701.89,798.69,525.09,501.27,721.91,749.83,667.16,599.75,901.73,660.08,538.64,1154.41,836.61,847.07
1968,904.50,1224.28,595.69,1496.72,794.50,913.42,1096.19,642.56,607.13,995.50,1020.33,889.57,743.53,1340.87,870.45,682.03,1634.88,1239.48,1207.55
1969,1102.93,1400.88,812.63,1744.04,910.58,1126.08,1303.56,841.35,855.55,1178.21,1220.02,1065.79,959.15,1537.66,1053.69,856.44,1922.02,1431.32,1409.42
1970,794.02,1010.44,638.75,1189.19,642.58,786.70,947.29,613.46,697.70,813.58,883.43,784.11,669.60,1058.54,759.70,657.69,1304.57,988.49,987.23
1971,797.36,1066.12,539.50,1340.96,752.23,795.94,952.30,561.40,554.63,885.10,864.88,730.04,639.34,1183.15,727.74,582.61,1475.53,1134.64,1066.25
1972,1019.28,1348.89,712.62,1630.91,914.90,1039.29,1226.19,736.59,756.53,1136.36,1098.89,974.93,838.89,1455.46,944.22,779.41,1786.65,1360.44,1354.83
1973,632.71,892.33,366.89,1091.28,601.87,642.59,807.09,429.25,383.07,723.79,710.64,588.95,508.59,964.67,591.08,430.70,1203.66,902.84,888.50
1974,686.19,1036.82,355.15,1334.68,707.04,675.41,883.15,405.66,361.39,815.82,722.60,573.66,492.77,1164.10,582.31,420.05,1476.46,1098.60,1035.54
1975,720.96,924.25,544.68,1125.55,606.81,720.70,842.94,549.76,590.35,753.51,775.73,718.67,608.58,998.08,684.11,594.37,1254.37,917.27,910.32
1976,935.09,1224.95,688.26,1467.29,746.22,947.17,1133.33,728.36,717.89,992.51,1040.59,924.86,804.39,1310.66,896.79,735.40,1597.83,1188.34,1205.51
1977,1108.64,1506.86,705.29,1865.86,1016.87,1123.51,1357.90,773.64,731.66,1245.31,1203.79,1039.57,914.52,1668.44,1023.69,805.72,2038.41,1564.25,1528.34
1978,1086.75,1484.47,626.29,1885.93,1071.17,1131.70,1340.86,728.88,605.20,1305.54,1178.47,969.40,882.34,1673.06,985.68,728.93,2075.33,1598.26,1543.60
1979,1100.32,1490.49,671.12,1863.23,997.59,1145.25,1342.73,787.86,653.81,1247.45,1223.65,1061.40,918.46,1634.23,1046.04,794.97,2061.38,1542.27,1495.34
1980,621.82,852.37,425.82,1107.16,570.74,592.17,745.70,437.63,434.67,658.82,658.32,569.21,488.55,951.20,554.34,460.95,1251.64,892.50,837.50
1981,732.04,1093.86,387.45,1354.18,688.93,759.80,957.69,471.68,383.84,839.00,809.97,648.97,572.50,1199.10,660.34,473.46,1498.67,1094.37,1064.32
1982,657.25,931.32,412.39,1171.57,596.10,636.02,806.68,453.09,446.17,695.20,717.20,629.32,522.75,1018.49,606.27,474.08,1308.30,954.51,891.69
1983,822.31,1116.55,537.60,1387.11,732.56,846.76,1007.37,580.23,548.58,943.09,873.71,742.89,674.30,1224.67,739.98,600.77,1519.99,1156.14,1140.97
1984,910.20,1323.65,481.06,1674.52,885.39,956.28,1154.63,588.18,482.29,1095.47,967.13,782.06,721.21,1469.40,800.84,562.41,1845.71,1386.98,1339.24
