Variable:,pr
,Hungary,Bacs-kiskun,Baranya,Bekes,Borsod-abauj-zemplen,Budapest,Csongrad,Fejer,Gyor-moson-sopron,Hajdu-bihar,Heves,Jasz-nagykun-szolnok,Komarom-esztergom,Nograd,Pest,Somogy,Szabolcs-szatmar-bereg,Tolna,Vas,Veszprem,Zala
1965,791.75,726.39,852.89,687.70,787.89,775.96,671.21,818.80,790.30,717.68,801.91,730.25,816.04,848.29,782.15,908.33,739.30,811.40,897.40,862.05,960.71
1966,734.81,645.62,770.69,668.42,751.81,710.99,616.20,738.13,759.25,698.08,710.45,664.49,758.84,765.88,709.09,829.46,753.55,717.12,830.69,809.45,896.38
1967,532.66,502.38,617.55,508.44,555.72,469.88,495.77,487.29,507.67,516.48,502.37,475.65,493.29,528.00,480.18,613.69,570.36,528.30,582.15,525.25,637.09
1968,532.98,482.71,568.71,518.32,573.27,488.58,482.70,491.92,526.60,542.04,510.98,478.43,518.91,540.53,492.72,568.90,612.96,498.37,583.52,539.08,605.12
1969,642.06,634.91,737.22,662.00,590.47,594.50,643.11,623.16,618.76,601.74,597.14,611.80,619.25,625.79,597.41,720.69,597.21,655.19,703.82,654.07,754.44
1970,672.21,591.45,690.57,694.16,795.33,609.30,620.78,568.61,580.61,737.13,715.40,663.98,592.80,725.57,624.30,678.48,823.83,592.46,644.93,606.46,719.70
1971,456.63,406.82,466.01,448.43,507.59,435.63,417.21,420.21,447.41,462.53,477.77,428.76,448.54,505.12,441.22,464.19,508.64,421.78,480.55,452.46,497.96
1972,632.62,593.91,770.09,553.86,597.20,585.78,557.38,619.53,651.65,536.20,582.94,540.11,615.39,631.64,583.06,794.46,549.60,657.57,791.52,686.31,857.33
1973,494.70,453.26,598.19,447.75,499.67,437.14,433.29,482.92,495.24,452.52,451.29,423.15,466.07,484.28,436.51,591.05,496.98,502.04,596.95,530.27,625.84
1974,718.46,668.12,786.27,698.43,783.78,672.09,661.27,686.81,618.38,725.05,711.76,668.35,655.98,746.66,677.01,801.04,786.37,709.02,693.68,700.13,818.11
1975,612.29,570.59,645.85,600.23,670.31,564.12,577.04,579.26,576.45,610.10,611.53,592.35,575.46,623.15,572.12,638.92,634.28,595.05,671.55,600.03,688.44
1976,608.24,575.79,653.01,575.74,646.33,598.84,556.76,604.52,564.01,583.88,635.32,583.37,604.70,674.12,602.23,646.22,613.49,607.66,609.48,599.58,657.79
1977,571.11,519.24,633.44,571.40,634.65,530.70,528.46,506.59,500.60,601.71,566.77,536.18,503.11,595.73,536.08,617.50,673.02,535.50,545.28,537.90,633.34
1978,566.25,526.92,583.06,591.89,631.49,519.74,540.91,513.84,456.76,621.09,571.30,558.05,494.51,577.51,528.41,572.84,677.79,538.84,536.27,515.18,607.95
1979,630.00,552.20,662.67,571.45,652.83,575.99,542.85,610.47,656.18,609.05,607.97,561.82,621.39,647.02,580.32,705.38,668.00,600.99,763.59,674.68,787.68
