Variable:,pr
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1963,571.98,564.37,645.14,547.62,464.48,886.66,562.95,661.03,514.50,679.07,487.56,639.14,544.13,702.18,524.51,459.85,491.74,721.99,533.02,522.70,575.83,735.09
1964,585.98,446.96,642.63,556.93,368.19,748.37,669.70,564.84,400.33,530.64,562.95,581.05,452.48,549.92,434.21,381.90,430.49,672.26,604.50,566.66,518.93,679.53
1965,614.18,612.48,712.02,667.79,487.52,866.22,630.57,698.70,553.07,705.35,511.60,679.33,573.71,693.54,567.15,529.23,571.63,749.45,546.09,638.83,643.65,754.71
1966,659.77,663.00,789.33,755.14,521.10,926.88,706.59,717.26,599.90,762.20,524.70,705.60,596.36,787.58,586.13,526.50,585.22,755.78,631.44,728.53,677.20,741.92
1967,697.99,634.78,773.68,700.73,567.12,1009.87,695.01,772.36,594.37,754.62,579.57,800.81,669.28,769.94,681.80,608.30,640.49,849.84,667.69,717.25,742.52,907.07
1968,567.80,614.99,651.10,612.03,499.94,832.56,498.57,646.40,563.07,693.25,484.93,684.50,556.90,714.40,566.83,517.56,571.94,699.47,504.93,542.54,647.46,710.19
1969,521.39,539.85,575.13,555.48,451.43,735.89,544.23,607.12,507.30,606.25,418.07,589.94,504.26,595.29,475.23,438.13,471.66,613.80,486.07,546.76,528.04,659.17
1970,591.60,684.03,640.05,602.18,581.51,891.78,618.25,725.10,629.26,769.67,473.82,647.70,588.87,768.29,526.66,460.77,484.12,687.09,548.86,620.38,563.84,709.43
1971,576.25,474.12,592.22,526.15,411.19,780.41,648.90,586.46,424.14,568.87,518.19,580.59,467.96,588.59,448.91,424.86,457.49,652.44,626.20,554.61,512.85,704.39
1972,569.55,498.94,578.48,509.97,441.14,757.94,565.51,619.98,478.05,593.08,550.39,581.46,514.20,564.79,473.57,430.42,447.00,652.51,582.28,543.01,507.28,712.84
1973,597.50,560.03,638.62,583.29,470.04,765.28,682.51,607.31,512.55,632.35,544.88,564.85,486.07,632.08,469.53,444.07,488.07,608.86,649.27,579.28,551.49,633.47
1974,651.74,630.01,695.79,684.37,658.69,905.79,623.67,715.87,615.90,721.16,569.30,705.44,632.73,707.47,648.10,625.57,641.61,745.65,625.15,690.11,676.04,779.50
1975,554.02,461.77,543.14,479.55,364.40,695.96,605.23,552.62,419.91,558.22,589.09,508.28,432.46,540.19,411.56,381.12,420.91,579.16,590.27,474.10,472.78,595.08
1976,480.97,497.62,513.49,497.10,488.44,658.61,529.69,537.78,494.36,562.05,384.27,522.19,479.38,525.04,461.52,410.05,434.95,533.67,466.29,495.66,484.60,583.16
1977,661.41,650.85,729.84,695.76,554.04,966.31,608.07,786.85,603.43,769.13,558.91,800.43,662.53,716.54,647.02,582.18,629.89,787.83,612.03,652.90,714.92,883.50
1978,550.76,557.67,543.00,536.35,497.95,819.49,590.19,680.71,525.73,673.92,477.28,550.02,544.57,647.57,510.79,466.65,482.54,553.55,547.03,556.39,523.03,648.66
1979,662.72,615.83,740.65,708.30,526.66,906.14,683.93,729.61,583.40,723.00,552.52,752.74,619.94,692.10,605.98,527.06,598.93,776.66,642.86,704.21,696.00,809.39
1980,598.13,634.28,711.93,665.41,581.73,994.46,606.01,774.32,613.73,763.09,414.83,709.83,640.08,777.87,646.59,585.43,631.22,713.73,514.12,619.99,709.18,780.92
1981,680.79,673.68,751.01,743.50,581.93,978.38,675.22,753.91,616.02,786.04,595.32,720.15,622.69,816.53,628.21,589.04,646.20,729.71,646.21,713.08,704.43,798.66
1982,592.74,539.42,632.82,578.83,404.71,889.59,562.58,629.79,461.95,649.09,552.33,617.49,489.86,681.22,480.76,427.58,477.35,722.21,599.18,551.56,565.58,758.32
1983,661.94,584.16,661.00,654.23,476.65,890.85,736.22,658.23,502.73,686.69,641.83,654.01,528.35,717.76,554.94,507.25,554.69,649.18,687.49,661.05,640.55,710.45
1984,647.70,634.40,757.43,697.91,595.94,892.94,655.95,727.87,638.99,739.44,524.17,745.18,637.35,705.01,633.88,569.96,627.82,779.68,602.27,667.23,705.08,771.38
1985,710.37,687.76,808.18,741.85,607.99,1020.13,774.90,829.45,674.91,814.11,586.53,759.66,689.82,783.61,596.95,515.60,563.60,834.96,663.99,730.20,658.63,866.50
1986,629.85,574.30,755.26,756.83,524.00,825.24,670.54,649.07,534.69,658.03,496.50,700.78,578.06,666.40,620.88,580.24,625.01,728.38,597.68,709.25,696.73,724.01
1987,669.52,597.40,749.96,681.76,543.29,868.24,786.86,696.31,573.18,699.67,565.04,659.10,580.85,683.65,526.56,484.64,504.81,800.10,652.68,733.87,563.38,793.03
1988,666.67,742.04,720.43,616.34,584.65,1065.50,649.96,838.30,672.69,861.89,540.47,737.26,661.71,832.61,602.90,550.08,567.38,850.33,627.88,611.72,648.87,894.41
1989,597.50,493.95,587.39,525.44,435.70,732.86,660.78,577.97,469.11,572.71,605.65,532.00,464.31,570.32,421.33,394.93,413.78,624.62,675.87,590.49,474.71,634.20
1990,668.76,620.14,726.49,687.68,561.08,1012.62,690.96,786.13,591.88,764.52,556.18,727.72,639.12,715.46,613.08,571.39,613.04,760.18,649.81,654.98,687.18,858.00
1991,598.47,555.07,587.50,555.62,465.78,850.55,603.75,675.25,515.10,668.00,567.24,602.02,554.06,678.99,540.73,501.96,520.77,630.75,603.24,566.68,572.76,720.31
1992,668.85,587.60,681.25,691.19,481.61,905.54,714.86,689.50,527.42,684.47,625.42,646.79,548.50,673.19,536.63,512.39,558.75,692.39,695.12,718.18,611.87,774.20
1993,665.15,642.54,685.72,648.71,508.97,934.43,723.24,741.80,583.74,749.61,581.90,669.79,599.09,742.80,554.83,503.77,529.68,717.49,682.69,704.82,602.61,780.49
1994,575.82,706.77,622.38,562.36,550.31,1073.60,564.16,807.95,632.76,832.42,415.97,666.77,624.05,848.00,573.17,517.56,534.35,695.70,482.00,522.60,599.48,848.41
1995,630.91,634.62,691.65,630.49,545.36,884.65,644.18,728.54,615.66,738.29,569.05,678.88,617.34,692.58,575.85,514.21,554.23,697.76,586.48,575.52,636.16,761.64
1996,570.24,558.36,609.36,570.38,488.37,699.46,594.66,605.86,545.08,617.05,518.15,597.42,530.34,541.94,487.72,434.71,455.75,632.79,581.14,602.56,525.95,642.82
1997,587.91,539.59,672.53,618.00,463.98,815.89,626.80,667.07,520.54,655.59,495.62,664.88,560.12,608.52,546.00,509.23,551.25,666.56,551.07,567.55,628.14,717.51
1998,773.68,746.69,749.31,739.91,558.00,1154.80,783.74,905.21,672.81,896.05,713.58,751.21,696.51,854.06,603.55,561.73,595.77,775.23,812.33,808.13,670.26,966.02
1999,688.34,709.84,730.36,653.47,529.96,1126.26,671.28,856.15,627.65,858.62,587.36,761.52,650.53,823.72,578.47,516.36,559.60,863.62,613.39,642.54,651.19,996.40
2000,820.68,666.69,904.74,841.17,601.10,1047.92,858.66,850.69,666.96,816.03,702.72,905.91,749.87,721.74,704.69,615.76,660.26,1016.47,831.62,902.82,772.13,1032.71
2001,714.02,653.65,706.70,692.25,557.00,921.34,800.60,752.73,611.23,753.82,651.95,683.91,617.68,707.64,555.34,508.20,535.99,741.89,767.08,784.28,605.16,803.31
2002,592.97,661.80,651.72,584.89,433.45,1007.83,561.03,737.54,563.59,771.46,488.89,652.98,561.85,800.09,521.09,451.47,496.74,733.59,535.02,564.52,589.43,819.55
2003,577.82,527.81,634.16,570.78,463.36,786.85,580.92,645.59,516.42,625.89,520.54,638.71,558.78,595.44,535.21,459.73,495.81,685.75,548.74,549.38,577.77,714.66
2004,652.36,677.96,653.81,594.30,479.19,1001.69,606.52,777.53,603.53,787.57,623.25,704.89,621.99,775.01,560.61,465.59,512.55,754.25,619.79,592.28,612.70,842.07
2005,632.63,531.63,632.09,598.33,481.10,771.08,631.49,627.46,522.31,618.34,657.87,636.37,555.31,605.66,540.25,487.53,521.64,665.19,652.06,616.24,588.31,684.00
2006,652.16,614.90,746.64,671.20,484.77,1004.53,659.49,778.96,592.14,751.52,503.27,748.59,641.21,734.71,593.46,495.61,549.48,847.48,603.85,650.33,653.35,922.09
2007,683.13,738.64,677.15,620.86,608.29,1075.57,650.52,836.25,653.76,856.41,615.41,713.84,658.94,870.01,601.94,527.94,545.47,764.76,669.43,649.70,637.22,877.10
2008,695.48,676.24,792.50,722.82,558.88,1005.34,657.80,816.76,647.94,798.27,581.45,809.94,684.96,766.40,657.38,579.58,630.71,879.75,633.31,687.14,727.18,925.27
2009,660.26,605.99,780.90,708.78,533.63,895.34,719.05,737.43,604.43,715.47,511.94,738.28,637.67,685.16,621.72,552.82,598.43,813.32,621.53,687.15,689.60,829.18
2010,644.76,671.18,694.35,649.63,575.87,989.47,651.05,802.06,655.68,791.04,527.78,723.89,672.99,793.04,628.62,542.71,578.25,742.41,583.28,628.09,669.84,833.37
2011,684.42,653.52,704.27,622.36,479.09,1051.20,692.55,792.75,596.55,794.42,624.68,685.77,601.61,795.09,529.17,454.93,493.98,794.72,683.14,653.84,583.43,902.08
2012,736.57,710.01,852.27,781.71,636.69,1038.11,718.93,866.45,706.95,842.04,596.25,859.70,755.49,788.38,723.75,659.89,702.32,910.84,671.72,738.25,801.54,948.50
2013,587.59,560.22,575.19,525.69,429.94,839.99,602.94,632.74,509.70,639.71,560.63,580.40,520.00,669.86,477.04,427.51,444.19,630.08,617.83,552.05,516.43,716.38
2014,630.14,706.77,723.48,638.42,502.09,1081.28,555.77,821.67,612.40,841.78,497.58,742.47,623.30,822.83,579.13,503.41,547.17,839.94,547.62,591.88,652.81,917.15
2015,690.14,626.41,749.87,669.69,485.64,1028.88,669.80,768.66,565.20,770.35,638.22,714.69,595.17,762.59,557.46,501.43,546.03,812.70,690.74,656.28,636.58,868.82
2016,625.78,555.90,626.83,590.20,495.27,831.19,624.56,655.19,524.89,653.89,621.03,615.59,534.50,636.30,508.13,466.86,497.05,663.86,658.80,614.17,563.35,717.73
2017,678.22,732.34,712.22,644.99,598.07,1143.15,660.47,818.11,652.92,860.92,581.88,714.03,629.84,904.30,591.44,541.23,566.70,788.09,642.83,633.36,645.33,888.72
2018,539.63,505.50,504.27,485.51,418.22,764.22,563.83,591.42,454.95,591.35,523.44,519.31,463.82,565.94,432.92,395.94,414.79,553.94,566.70,549.91,468.53,645.40
2019,682.36,663.96,735.73,660.02,562.13,1066.37,660.41,805.20,624.40,808.13,590.01,733.99,642.06,776.34,608.75,549.79,588.28,826.10,650.39,651.82,668.86,904.33
2020,669.34,563.89,757.17,682.20,480.80,882.00,702.14,682.99,525.36,663.56,604.25,700.14,565.27,668.92,547.59,509.60,572.27,812.53,646.82,699.93,644.57,812.31
2021,608.87,580.61,596.95,593.58,434.01,880.59,630.59,629.98,487.62,664.45,593.05,538.04,464.61,726.48,427.73,433.63,476.16,609.15,652.93,647.15,495.86,686.11
