Variable:,pr
,Ireland,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Munster,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
1937,1133.14,1079.81,1041.64,1134.83,1278.46,1303.25,982.31,1091.68,1466.01,906.72,1029.97,946.14,1209.92,1158.53,996.14,913.33,1176.69,893.80,962.54,962.54,892.96,1031.83,1231.21,1110.58,1223.13,927.15,1086.07,1045.93
1938,1257.09,1130.05,1182.04,1252.67,1349.92,1553.76,1055.04,1243.51,1563.92,985.18,1088.74,1031.72,1425.47,1251.52,1136.58,969.13,1416.20,963.26,1057.58,1057.58,1005.11,1208.43,1491.96,1200.39,1294.51,1039.48,1108.96,1107.92
1939,1082.72,1025.21,1053.95,1048.60,1156.66,1321.73,978.56,1041.54,1339.53,886.86,978.13,905.74,1208.07,1060.64,1003.04,945.15,1145.20,907.40,982.93,982.93,861.38,1016.63,1219.21,1032.14,1130.20,919.74,1029.24,1014.44
1940,1147.09,1057.62,1186.17,1072.78,1176.15,1545.87,1041.32,1089.86,1360.21,942.43,1001.97,932.12,1376.03,1069.86,1118.19,1043.42,1244.01,991.53,1116.63,1116.63,894.97,1109.29,1372.53,1052.58,1156.23,992.10,1062.07,1057.95
1941,1003.64,939.34,960.41,1003.17,1110.11,1178.64,886.01,957.13,1286.36,810.56,879.97,829.76,1099.95,1014.82,916.13,881.38,1040.66,839.15,928.47,928.47,802.81,924.45,1097.31,964.80,1042.37,849.77,947.95,921.04
1942,1093.98,942.54,1138.41,1037.61,1079.89,1511.83,955.21,1107.15,1253.09,859.99,887.95,872.94,1349.02,1014.32,1065.65,965.14,1270.52,912.41,1071.24,1071.24,886.14,1117.41,1377.96,986.62,1029.60,962.10,939.21,956.28
1943,1110.33,964.16,1061.14,1102.75,1186.61,1391.99,903.20,1119.31,1372.95,839.23,955.76,892.83,1281.62,1093.37,1027.07,894.26,1252.05,850.43,1006.55,1006.55,868.77,1079.62,1321.14,1060.04,1137.39,913.68,990.93,942.92
1944,1124.93,984.80,1099.44,1126.87,1172.41,1403.31,952.70,1157.11,1360.35,898.75,938.64,924.81,1277.41,1110.90,1065.07,947.13,1245.39,908.39,1028.12,1028.12,934.67,1100.05,1289.33,1074.80,1086.74,973.40,981.10,983.15
1945,1054.37,929.05,970.64,1072.29,1157.93,1293.91,847.30,1054.20,1325.93,811.09,932.39,870.76,1171.82,1066.82,969.62,830.75,1136.94,793.66,930.03,930.03,843.29,1005.29,1199.37,1033.77,1099.91,858.70,955.81,898.66
1946,1270.84,1235.88,1187.98,1273.39,1387.00,1400.39,1168.80,1230.18,1570.32,1114.35,1183.34,1127.66,1337.83,1285.00,1156.57,1047.37,1277.11,1056.20,1066.88,1066.88,1079.04,1178.77,1327.94,1275.95,1375.63,1105.79,1228.03,1230.11
1947,1278.03,1293.88,1195.73,1253.85,1385.46,1372.19,1180.99,1242.47,1571.24,1118.88,1210.57,1126.56,1343.14,1267.74,1186.36,1044.78,1302.33,1057.77,1066.10,1066.10,1079.68,1191.26,1345.40,1263.95,1405.33,1120.39,1289.09,1267.29
