Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","752","Sweden","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","95.95793","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","95.5406","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","95.36078","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","95.03506","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","95.24881","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","95.37774","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","95.81882","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","96.494","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","96.90115","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","97.05383","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","97.46777","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","98.04795","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","98.19045","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","98.40421","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","97.6442","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","97.6442","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","96.80276","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","96.8808","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","96.80615","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","96.80615","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","97.45419","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","97.20651","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","97.07758","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","97.60687","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","97.86813","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","98.68581","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","98.17688","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","97.54919","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","97.91902","X","Figure from international organizations","base year is 2015"
