Variable:,tas
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
1980,7.87,6.58,7.57,8.01,6.90,7.24,10.33,7.06,8.78,9.00,7.83,8.77,7.48
1981,8.59,7.13,8.05,8.79,7.72,7.88,10.81,7.78,9.68,10.05,8.64,9.58,8.28
1982,9.09,7.81,8.82,9.23,8.11,8.52,11.58,8.27,10.00,10.22,9.01,9.96,8.65
1983,9.23,7.88,8.78,9.39,8.36,8.52,11.50,8.41,10.25,10.56,9.23,10.16,8.87
1984,8.26,6.91,7.86,8.45,7.33,7.58,10.60,7.44,9.23,9.55,8.24,9.20,7.88
1985,8.26,7.00,8.01,8.39,7.28,7.62,10.77,7.44,9.15,9.33,8.20,9.14,7.85
1986,8.44,7.23,8.25,8.58,7.41,7.85,11.01,7.61,9.30,9.53,8.32,9.30,7.97
1987,8.41,7.16,8.15,8.55,7.42,7.82,10.89,7.60,9.31,9.52,8.34,9.30,7.99
1988,9.13,7.80,8.77,9.28,8.20,8.49,11.52,8.32,10.09,10.38,9.09,10.04,8.74
1989,9.30,7.97,8.89,9.47,8.41,8.62,11.59,8.49,10.31,10.52,9.30,10.24,8.95
1990,9.50,8.14,9.13,9.70,8.53,8.92,11.93,8.70,10.45,10.68,9.46,10.43,9.11
1991,8.62,7.34,8.32,8.79,7.63,8.06,11.10,7.82,9.49,9.71,8.56,9.52,8.21
1992,9.76,8.36,9.33,9.95,8.86,9.14,12.08,8.95,10.76,11.00,9.75,10.70,9.40
1993,9.20,7.88,8.84,9.41,8.28,8.60,11.58,8.40,10.15,10.36,9.16,10.13,8.81
1994,10.46,9.06,10.00,10.69,9.57,9.80,12.72,9.66,11.45,11.68,10.46,11.42,10.11
1995,9.17,7.74,8.69,9.42,8.27,8.52,11.45,8.36,10.19,10.46,9.18,10.15,8.82
1996,8.45,7.16,8.16,8.67,7.43,7.88,10.95,7.65,9.31,9.40,8.39,9.37,8.03
1997,9.44,8.19,9.19,9.63,8.48,8.86,11.90,8.65,10.30,10.34,9.40,10.35,9.05
1998,9.56,8.22,9.17,9.75,8.65,8.87,11.90,8.75,10.53,10.77,9.54,10.50,9.18
1999,9.59,8.25,9.22,9.80,8.68,8.92,11.94,8.78,10.55,10.78,9.57,10.52,9.22
2000,10.40,8.94,9.91,10.61,9.54,9.68,12.66,9.56,11.48,11.74,10.42,11.39,10.04
2001,9.58,8.22,9.20,9.76,8.63,8.96,11.97,8.79,10.55,10.73,9.58,10.49,9.23
2002,10.19,8.85,9.83,10.37,9.22,9.56,12.61,9.37,11.15,11.41,10.17,11.12,9.81
2003,9.86,8.54,9.55,10.05,8.86,9.24,12.37,9.06,10.74,10.94,9.83,10.78,9.48
2004,9.15,7.83,8.84,9.33,8.17,8.56,11.65,8.33,10.07,10.32,9.10,10.06,8.75
2005,8.78,7.42,8.43,8.95,7.81,8.14,11.24,7.96,9.75,9.99,8.76,9.68,8.40
2006,9.67,8.34,9.34,9.88,8.69,9.06,12.11,8.85,10.58,10.77,9.63,10.61,9.27
2007,10.30,8.94,9.92,10.48,9.32,9.64,12.68,9.48,11.32,11.52,10.28,11.23,9.91
2008,10.15,8.76,9.73,10.35,9.19,9.50,12.51,9.31,11.18,11.46,10.14,11.11,9.76
2009,10.05,8.67,9.64,10.26,9.10,9.39,12.41,9.24,11.06,11.29,10.05,11.00,9.68
2010,9.12,7.77,8.74,9.33,8.18,8.48,11.51,8.32,10.08,10.26,9.11,10.08,8.75
2011,10.30,8.96,9.95,10.52,9.39,9.67,12.72,9.52,11.19,11.43,10.30,11.24,9.97
2012,10.23,8.83,9.79,10.45,9.27,9.55,12.57,9.39,11.23,11.51,10.23,11.23,9.85
2013,9.88,8.49,9.45,10.09,8.95,9.19,12.23,9.06,10.87,11.13,9.89,10.85,9.53
2014,10.72,9.37,10.34,10.86,9.77,10.08,13.10,9.89,11.73,11.98,10.71,11.61,10.34
2015,10.57,9.23,10.18,10.71,9.64,9.89,12.93,9.72,11.59,11.85,10.57,11.49,10.20
2016,10.14,8.78,9.76,10.31,9.20,9.50,12.52,9.30,11.14,11.37,10.14,11.08,9.77
2017,10.12,8.72,9.66,10.29,9.20,9.43,12.42,9.27,11.19,11.45,10.15,11.07,9.76
2018,10.98,9.63,10.61,11.10,10.04,10.32,13.35,10.13,12.01,12.26,10.95,11.87,10.59
2019,10.88,9.50,10.44,11.02,9.97,10.16,13.18,10.06,11.91,12.21,10.92,11.81,10.56
2020,10.55,9.29,10.24,10.69,9.60,9.90,12.92,9.75,11.47,11.71,10.50,11.43,10.16
2021,9.90,8.59,9.53,10.10,8.93,9.28,12.25,9.11,10.86,11.06,9.88,10.83,9.53
