Variable:,tas
,Netherlands,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-brabant,Noord-holland,Overijssel,Utrecht,Zeeland,Zuid-holland
1979,8.52,8.04,8.36,8.07,8.56,7.94,9.03,8.93,8.53,8.27,8.55,9.35,8.83
1980,9.01,8.52,8.90,8.61,9.08,8.44,9.33,9.40,9.06,8.76,9.09,9.76,9.34
1981,9.26,8.81,9.13,8.85,9.33,8.72,9.61,9.64,9.29,9.07,9.32,10.02,9.57
1982,10.01,9.58,9.85,9.58,10.08,9.49,10.36,10.38,10.00,9.82,10.04,10.72,10.29
1983,10.08,9.71,9.91,9.69,10.12,9.69,10.39,10.41,10.07,9.90,10.10,10.74,10.34
1984,9.32,8.87,9.18,8.92,9.37,8.83,9.64,9.70,9.35,9.10,9.38,10.11,9.63
1985,8.47,8.07,8.32,8.06,8.52,8.01,8.82,8.84,8.48,8.27,8.50,9.22,8.75
1986,8.91,8.50,8.75,8.49,8.96,8.43,9.31,9.28,8.91,8.72,8.94,9.63,9.19
1987,8.63,8.16,8.49,8.19,8.68,8.06,9.03,9.02,8.66,8.40,8.69,9.44,8.93
1988,10.17,9.78,10.01,9.78,10.21,9.71,10.50,10.52,10.17,9.99,10.19,10.88,10.44
1989,10.69,10.28,10.52,10.29,10.73,10.22,11.01,11.06,10.69,10.48,10.71,11.44,10.99
1990,10.74,10.35,10.57,10.36,10.77,10.33,11.04,11.08,10.74,10.54,10.76,11.45,11.01
1991,9.52,9.11,9.34,9.12,9.55,9.07,9.91,9.89,9.51,9.32,9.53,10.25,9.79
1992,10.39,10.05,10.20,10.03,10.40,10.03,10.69,10.71,10.36,10.21,10.38,11.04,10.63
1993,9.49,9.00,9.32,9.03,9.53,8.89,10.01,9.93,9.49,9.25,9.52,10.37,9.80
1994,10.55,10.09,10.37,10.09,10.59,9.98,11.10,10.96,10.53,10.33,10.57,11.39,10.82
1995,10.27,9.76,10.12,9.80,10.32,9.61,10.75,10.70,10.30,10.02,10.31,11.19,10.59
1996,8.37,7.85,8.22,7.90,8.42,7.76,8.92,8.81,8.40,8.11,8.42,9.34,8.69
1997,10.11,9.63,9.95,9.66,10.16,9.53,10.53,10.53,10.13,9.88,10.18,11.00,10.43
