Variable:,tas
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
1984,5.85,5.83,6.79,5.38,5.68,5.61,5.38,6.32,6.25,5.62,6.07,6.84,5.67,5.82,5.81,5.55,5.72
1985,3.60,3.45,4.44,3.11,3.40,3.38,3.07,3.97,4.01,3.51,3.74,4.63,3.49,3.67,3.58,3.47,3.51
1986,5.00,4.87,5.79,4.50,4.80,4.79,4.47,5.36,5.39,4.89,5.16,5.94,4.89,5.07,4.98,4.84,4.92
1987,3.31,3.21,4.29,2.70,3.08,3.03,2.71,3.83,3.76,3.15,3.53,4.48,3.16,3.35,3.30,3.11,3.15
1988,5.76,5.68,6.59,5.26,5.57,5.51,5.26,6.18,6.16,5.61,5.94,6.68,5.62,5.80,5.73,5.57,5.64
1989,7.10,7.00,7.82,6.67,6.90,6.91,6.65,7.45,7.47,7.01,7.26,7.93,7.01,7.15,7.08,6.94,7.04
1990,6.67,6.61,7.59,6.12,6.48,6.37,6.13,7.15,7.13,6.45,6.92,7.71,6.46,6.69,6.66,6.45,6.46
1991,6.23,6.16,7.11,5.73,6.03,5.95,5.73,6.67,6.63,6.09,6.41,7.21,6.08,6.27,6.20,6.04,6.09
1992,6.41,6.33,7.33,5.85,6.23,6.10,5.85,6.87,6.87,6.23,6.63,7.49,6.24,6.45,6.44,6.18,6.21
1993,5.30,5.25,6.30,4.75,5.13,4.96,4.75,5.80,5.76,5.08,5.53,6.43,5.10,5.28,5.31,5.01,5.08
1994,5.48,5.37,6.43,4.95,5.27,5.17,4.95,5.92,5.90,5.35,5.64,6.61,5.32,5.55,5.47,5.33,5.31
1995,6.16,6.11,6.97,5.72,6.00,5.90,5.72,6.58,6.54,6.00,6.34,7.03,6.03,6.17,6.13,5.93,6.03
1996,4.84,4.84,5.75,4.46,4.66,4.59,4.45,5.29,5.17,4.69,5.00,5.76,4.67,4.82,4.77,4.63,4.73
1997,5.92,5.92,6.96,5.39,5.75,5.61,5.39,6.44,6.37,5.65,6.16,7.02,5.68,5.89,5.94,5.60,5.71
1998,5.46,5.38,6.40,4.87,5.25,5.14,4.86,5.95,5.93,5.33,5.67,6.54,5.30,5.52,5.45,5.30,5.28
1999,6.49,6.40,7.43,5.90,6.27,6.18,5.90,6.95,6.92,6.40,6.69,7.56,6.35,6.59,6.47,6.39,6.32
2000,7.06,7.02,7.93,6.56,6.89,6.80,6.55,7.50,7.47,6.85,7.25,7.98,6.88,7.09,7.08,6.81,6.90
2001,6.05,5.95,6.96,5.53,5.85,5.76,5.52,6.49,6.45,5.94,6.21,7.08,5.93,6.12,6.06,5.91,5.90
2002,6.21,6.11,7.22,5.62,6.00,5.89,5.59,6.68,6.67,6.09,6.40,7.41,6.06,6.29,6.22,6.06,6.01
2003,5.78,5.69,6.72,5.23,5.58,5.49,5.23,6.24,6.19,5.65,5.96,6.87,5.64,5.84,5.77,5.62,5.60
2004,5.97,5.90,6.91,5.48,5.76,5.66,5.48,6.42,6.34,5.86,6.14,7.00,5.82,6.02,5.91,5.82,5.81
2005,6.11,6.08,7.02,5.76,5.93,5.90,5.72,6.53,6.44,5.94,6.26,7.03,5.97,6.08,6.05,5.86,6.02
2006,6.57,6.51,7.51,6.06,6.40,6.28,6.06,7.07,7.00,6.35,6.78,7.65,6.40,6.57,6.60,6.28,6.39
2007,6.72,6.63,7.53,6.30,6.53,6.42,6.28,7.15,7.13,6.56,6.89,7.66,6.55,6.78,6.70,6.56,6.56
2008,7.23,7.16,8.08,6.72,7.05,6.97,6.71,7.67,7.64,7.07,7.41,8.17,7.10,7.28,7.24,7.02,7.10
2009,6.02,5.92,6.95,5.45,5.82,5.77,5.43,6.47,6.43,5.89,6.19,7.09,5.90,6.10,6.04,5.85,5.90
2010,4.93,4.81,5.81,4.39,4.69,4.72,4.38,5.34,5.30,4.88,5.08,5.90,4.85,5.02,4.89,4.89,4.87
2011,6.93,6.93,7.81,6.50,6.77,6.73,6.50,7.36,7.29,6.73,7.12,7.79,6.75,6.91,6.89,6.69,6.85
2012,5.59,5.53,6.59,5.04,5.37,5.28,5.05,6.12,6.03,5.39,5.81,6.68,5.41,5.61,5.58,5.35,5.40
2013,6.75,6.71,7.51,6.35,6.60,6.54,6.34,7.09,7.06,6.62,6.89,7.55,6.64,6.75,6.74,6.51,6.67
2014,6.94,6.90,7.71,6.58,6.79,6.71,6.53,7.28,7.26,6.79,7.08,7.83,6.82,6.95,6.94,6.71,6.88
2015,7.37,7.30,8.18,6.96,7.20,7.11,6.90,7.77,7.75,7.23,7.53,8.30,7.21,7.40,7.37,7.23,7.23
2016,6.46,6.38,7.29,6.00,6.28,6.19,5.97,6.89,6.87,6.29,6.62,7.44,6.28,6.49,6.45,6.29,6.32
2017,6.25,6.18,7.11,5.74,6.05,5.96,5.76,6.67,6.64,6.14,6.39,7.27,6.12,6.30,6.25,6.12,6.09
2018,7.03,6.95,7.90,6.51,6.83,6.73,6.51,7.47,7.46,6.87,7.20,8.05,6.89,7.11,7.04,6.85,6.87
2019,7.18,6.98,8.00,6.54,6.94,6.88,6.56,7.56,7.65,7.15,7.31,8.22,7.09,7.35,7.27,7.19,7.03
2020,8.12,8.07,8.92,7.71,7.94,7.90,7.66,8.53,8.48,7.95,8.28,9.03,8.00,8.10,8.07,7.87,8.03
2021,6.28,6.25,7.16,5.80,6.13,5.98,5.82,6.74,6.69,6.09,6.50,7.26,6.08,6.27,6.27,6.07,6.11
