Key,T°C
Czechia1960,7.53
Czechia1961,8.1
Czechia1962,6.55
Czechia1963,6.6
Czechia1964,7.13
Czechia1965,6.63
Czechia1966,7.95
Czechia1967,8.19
Czechia1968,7.48
Czechia1969,7.02
Czechia1970,7.06
Czechia1971,7.66
Czechia1972,7.33
Czechia1973,7.48
Czechia1974,8.14
Czechia1975,8.23
Czechia1976,7.51
Czechia1977,7.93
Czechia1978,7.03
Czechia1979,7.32
Czechia1980,6.53
Czechia1981,7.68
Czechia1982,8.09
Czechia1983,8.49
Czechia1984,7.24
Czechia1985,6.76
Czechia1986,7.36
Czechia1987,6.82
Czechia1988,8.2
Czechia1989,8.62
Czechia1990,8.62
Czechia1991,7.54
Czechia1992,8.65
Czechia1993,7.88
Czechia1994,9.08
Czechia1995,8.04
Czechia1996,6.43
Czechia1997,7.77
Czechia1998,8.29
Czechia1999,8.52
Czechia2000,9.27
Czechia2001,8.06
Czechia2002,8.8
Czechia2003,8.45
Czechia2004,8.07
Czechia2005,7.92
Czechia2006,8.44
Czechia2007,9.2
Czechia2008,9.03
Czechia2009,8.66
Czechia2010,7.43
Czechia2011,8.91
Czechia2012,8.68
Czechia2013,8.31
Czechia2014,9.76
Czechia2015,9.64
Czechia2016,9.04
Czechia2017,8.96
Czechia2018,9.93
Czechia2019,9.79
Czechia2020,9.61
Czechia2021,8.5
Germany1901,7.86
Germany1902,7.37
Germany1903,8.43
Germany1904,8.5
Germany1905,8.09
Germany1906,8.45
Germany1907,8.03
Germany1908,7.66
Germany1909,7.46
Germany1910,8.53
Germany1911,9.23
Germany1912,8.07
Germany1913,8.68
Germany1914,8.65
Germany1915,8.03
Germany1916,8.55
Germany1917,7.72
Germany1918,8.7
Germany1919,7.48
Germany1920,8.81
Germany1921,9.19
Germany1922,7.37
Germany1923,8.19
Germany1924,7.75
Germany1925,8.46
Germany1926,8.85
Germany1927,8.23
Germany1928,8.52
Germany1929,7.91
Germany1930,8.99
Germany1931,7.66
Germany1932,8.49
Germany1933,7.84
Germany1934,9.37
Germany1935,8.47
Germany1936,8.52
Germany1937,8.7
Germany1938,8.79
Germany1939,8.45
Germany1940,6.89
Germany1941,7.3
Germany1942,7.53
Germany1943,9.07
Germany1944,8.37
Germany1945,9.0
Germany1946,8.56
Germany1947,8.83
Germany1948,9.2
Germany1949,9.35
Germany1950,8.86
Germany1951,8.94
Germany1952,8.14
Germany1953,9.17
Germany1954,7.92
Germany1955,7.81
Germany1956,7.28
Germany1957,8.8
Germany1958,8.43
Germany1959,9.28
Germany1960,8.55
Germany1961,9.12
Germany1962,7.39
Germany1963,7.36
Germany1964,8.32
Germany1965,7.68
Germany1966,8.62
Germany1967,9.09
Germany1968,8.34
Germany1969,7.98
Germany1970,7.9
Germany1971,8.68
Germany1972,8.08
Germany1973,8.45
Germany1974,8.99
Germany1975,9.11
Germany1976,8.61
Germany1977,8.8
Germany1978,8.01
Germany1979,7.94
Germany1980,7.76
Germany1981,8.41
Germany1982,9.19
Germany1983,9.35
Germany1984,8.24
Germany1985,7.77
Germany1986,8.25
Germany1987,7.71
Germany1988,9.29
Germany1989,9.81
Germany1990,9.81
Germany1991,8.73
Germany1992,9.64
Germany1993,8.76
Germany1994,9.94
Germany1995,9.15
Germany1996,7.57
Germany1997,9.18
Germany1998,9.27
Germany1999,9.74
Germany2000,10.09
Germany2001,9.21
Germany2002,9.75
Germany2003,9.57
Germany2004,9.14
Germany2005,9.26
Germany2006,9.82
Germany2007,10.09
Germany2008,9.76
Germany2009,9.52
Germany2010,8.19
Germany2011,10.03
Germany2012,9.45
Germany2013,9.07
Germany2014,10.64
Germany2015,10.32
Germany2016,9.86
Germany2017,9.91
Germany2018,10.74
Germany2019,10.54
Germany2020,10.79
Germany2021,9.49
Denmark1901,7.73
Denmark1902,6.45
Denmark1903,7.67
Denmark1904,7.54
Denmark1905,7.61
Denmark1906,8.12
Denmark1907,7.16
Denmark1908,7.57
Denmark1909,6.72
Denmark1910,8.44
Denmark1911,8.59
Denmark1912,7.43
Denmark1913,8.34
Denmark1914,8.7
Denmark1915,6.74
Denmark1916,7.63
Denmark1917,7.24
Denmark1918,7.81
Denmark1919,6.75
Denmark1920,8.07
Denmark1921,8.44
Denmark1922,6.59
Denmark1923,6.98
Denmark1924,7.08
Denmark1925,8.12
Denmark1926,7.97
Denmark1927,7.34
Denmark1928,7.34
Denmark1929,6.84
Denmark1930,8.47
Denmark1931,7.08
Denmark1932,8.3
Denmark1933,8.09
Denmark1934,9.28
Denmark1935,8.15
Denmark1936,8.19
Denmark1937,8.09
Denmark1938,8.91
Denmark1939,8.26
Denmark1940,6.28
Denmark1941,6.42
Denmark1942,6.11
Denmark1943,8.63
Denmark1944,8.27
Denmark1945,8.64
Denmark1946,7.85
Denmark1947,7.52
Denmark1948,8.57
Denmark1949,9.2
Denmark1950,8.26
Denmark1951,8.17
Denmark1952,7.25
Denmark1953,8.86
Denmark1954,7.49
Denmark1955,7.44
Denmark1956,6.82
Denmark1957,8.12
Denmark1958,7.42
Denmark1959,8.85
Denmark1960,7.72
Denmark1961,8.53
Denmark1962,7.06
Denmark1963,6.8
Denmark1964,7.57
Denmark1965,7.1
Denmark1966,7.23
Denmark1967,8.49
Denmark1968,7.96
Denmark1969,7.46
Denmark1970,7.06
Denmark1971,8.26
Denmark1972,7.9
Denmark1973,8.25
Denmark1974,8.57
Denmark1975,9.05
Denmark1976,7.78
Denmark1977,7.97
Denmark1978,7.63
Denmark1979,6.73
Denmark1980,7.36
Denmark1981,7.47
Denmark1982,8.18
Denmark1983,8.61
Denmark1984,8.07
Denmark1985,6.64
Denmark1986,7.19
Denmark1987,6.65
Denmark1988,8.62
Denmark1989,9.39
Denmark1990,9.58
Denmark1991,8.35
Denmark1992,9.09
Denmark1993,7.8
Denmark1994,8.75
Denmark1995,8.43
Denmark1996,6.9
Denmark1997,8.52
Denmark1998,8.22
Denmark1999,8.95
Denmark2000,9.3
Denmark2001,8.33
Denmark2002,9.16
Denmark2003,8.71
Denmark2004,8.71
Denmark2005,8.8
Denmark2006,9.39
Denmark2007,9.55
Denmark2008,9.56
Denmark2009,8.92
Denmark2010,7.14
Denmark2011,9.12
Denmark2012,8.49
Denmark2013,8.64
Denmark2014,10.18
Denmark2015,9.33
