key,pr_mm/yr
Germany1947,628.06
Germany1948,694.05
Germany1949,615.82
Germany1950,798.31
Germany1951,714.44
Germany1952,757.37
Germany1953,575.68
Germany1954,806.06
Germany1955,719.08
Germany1956,759.67
Germany1957,722.55
Germany1958,819.5
Germany1959,536.69
Germany1960,810.72
Germany1961,779.53
Germany1962,658.26
Germany1963,635.89
Germany1964,612.48
Germany1965,898.04
Germany1966,900.91
Germany1967,762.75
Germany1968,774.36
Germany1969,666.28
Germany1970,814.55
Germany1971,562.8
Germany1972,626.54
Germany1973,651.95
Germany1974,799.03
Germany1975,634.42
Germany1976,550.02
Germany1977,765.74
Germany1978,722.13
Germany1979,762.19
Germany1980,771.58
Germany1981,897.24
Germany1982,655.05
Germany1983,720.28
Germany1984,743.99
Germany1985,677.94
Germany1986,770.41
Germany1987,823.07
Germany1988,800.1
Germany1989,637.01
Germany1990,734.15
Germany1991,604.17
Germany1992,735.03
Germany1993,793.47
Germany1994,789.2
Germany1995,781.44
Germany1996,622.39
Germany1997,665.63
Germany1998,808.89
Germany1999,768.89
Germany2000,757.74
Germany2001,812.38
Germany2002,910.58
Germany2003,568.34
Germany2004,731.39
Germany2005,718.19
Germany2006,700.73
Germany2007,885.79
Germany2008,720.15
Germany2009,751.49
Germany2010,789.24
Germany2011,677.6
Germany2012,726.41
Germany2013,741.73
Germany2014,713.49
Germany2015,655.25
Germany2016,713.24
Germany2017,814.74
Germany2018,571.21
Germany2019,676.23
Germany2020,661.6
Germany2021,772.58
Denmark1901,623.28
Denmark1902,571.07
Denmark1903,751.23
Denmark1904,596.59
Denmark1905,678.88
Denmark1906,659.22
Denmark1907,640.02
Denmark1908,608.16
Denmark1909,714.16
Denmark1910,723.93
Denmark1911,706.23
Denmark1912,827.76
Denmark1913,574.85
Denmark1914,688.75
Denmark1915,659.09
Denmark1916,842.54
Denmark1917,699.51
Denmark1918,642.63
Denmark1919,621.93
Denmark1920,710.67
Denmark1921,641.42
Denmark1922,662.08
Denmark1923,796.99
Denmark1924,681.74
Denmark1925,701.07
Denmark1926,736.5
Denmark1927,902.04
Denmark1928,761.65
Denmark1929,655.36
Denmark1930,772.42
Denmark1931,699.62
Denmark1932,688.67
Denmark1933,536.4
Denmark1934,755.54
Denmark1935,771.98
Denmark1936,700.1
Denmark1937,696.73
Denmark1938,721.85
Denmark1939,676.59
Denmark1940,654.61
Denmark1941,597.35
Denmark1942,646.32
Denmark1943,668.53
Denmark1944,741.3
Denmark1945,751.62
Denmark1946,776.53
Denmark1947,497.18
Denmark1948,659.13
Denmark1949,716.7
Denmark1950,911.5
Denmark1951,846.97
Denmark1952,743.84
Denmark1953,655.76
Denmark1954,868.76
Denmark1955,602.44
Denmark1956,612.14
Denmark1957,687.89
Denmark1958,789.56
Denmark1959,546.94
Denmark1960,833.19
Denmark1961,781.05
Denmark1962,704.64
Denmark1963,717.85
Denmark1964,634.65
Denmark1965,760.78
Denmark1966,854.43
Denmark1967,864.92
Denmark1968,786.15
Denmark1969,649.51
Denmark1970,766.63
Denmark1971,615.55
Denmark1972,615.01
Denmark1973,624.15
Denmark1974,747.72
Denmark1975,528.47
Denmark1976,522.47
Denmark1977,686.74
Denmark1978,653.19
Denmark1979,760.03
Denmark1980,826.25
Denmark1981,843.02
Denmark1982,712.12
Denmark1983,725.17
Denmark1984,756.64
Denmark1985,775.46
Denmark1986,676.24
Denmark1987,738.77
Denmark1988,832.49
Denmark1989,606.71
Denmark1990,813.4
Denmark1991,647.19
Denmark1992,711.6
Denmark1993,740.45
Denmark1994,852.22
Denmark1995,652.42
Denmark1996,511.85
Denmark1997,599.7
Denmark1998,848.73
Denmark1999,868.42
Denmark2000,739.14
Denmark2001,732.97
Denmark2002,832.13
Denmark2003,613.88
Denmark2004,754.84
Denmark2005,637.9
Denmark2006,768.48
Denmark2007,852.31
Denmark2008,740.89
Denmark2009,705.84
Denmark2010,734.08
Denmark2011,807.5
Denmark2012,753.03
Denmark2013,683.79
Denmark2014,817.0
Denmark2015,855.88
Denmark2016,676.59
Denmark2017,958.44
Denmark2018,598.14
Denmark2019,847.19
Denmark2020,727.77
Denmark2021,733.99
Spain1901,699.9
Spain1902,695.13
Spain1903,587.65
Spain1904,614.72
Spain1905,559.53
Spain1906,626.5
Spain1907,615.79
Spain1908,603.08
Spain1909,613.58
Spain1910,655.97
Spain1911,655.97
Spain1912,524.22
Spain1913,618.21
Spain1914,633.54
Spain1915,729.77
Spain1916,645.83
Spain1917,595.57
Spain1918,597.45
Spain1919,762.56
Spain1920,591.91
Spain1921,553.82
Spain1922,597.22
Spain1923,593.85
Spain1924,567.16
Spain1925,608.8
Spain1926,644.71
Spain1927,674.46
Spain1928,614.94
Spain1929,588.02
Spain1930,652.16
Spain1931,551.84
Spain1932,730.25
Spain1933,669.98
Spain1934,569.55
Spain1935,603.48
Spain1936,890.86
Spain1937,751.75
Spain1938,520.39
Spain1939,700.07
Spain1940,685.61
Spain1941,766.14
Spain1942,674.2
Spain1943,641.04
Spain1944,502.37
Spain1945,496.57
Spain1946,649.78
Spain1947,735.59
Spain1948,590.03
Spain1949,572.15
Spain1950,503.3
Spain1951,793.89
Spain1952,634.97
Spain1953,534.29
Spain1954,495.26
Spain1955,765.95
Spain1956,647.63
Spain1957,580.03
Spain1958,626.15
Spain1959,813.68
Spain1960,878.73
Spain1961,685.32
Spain1962,716.12
Spain1963,857.94
Spain1964,552.16
Spain1965,671.76
Spain1966,677.98
Spain1967,559.67
Spain1968,629.98
Spain1969,866.66
Spain1970,557.26
Spain1971,753.19
Spain1972,815.77
Spain1973,523.58
Spain1974,583.7
Spain1975,629.43
Spain1976,709.81
Spain1977,774.76
Spain1978,662.88
Spain1979,761.51
Spain1980,563.21
Spain1981,547.63
Spain1982,602.59
Spain1983,538.16
Spain1984,664.34
Spain1985,564.41
Spain1986,563.58
Spain1987,720.33
Spain1988,617.03
Spain1989,749.25
Spain1990,527.39
Spain1991,566.39
Spain1992,568.24
Spain1993,607.67
Spain1994,521.81
Spain1995,547.02
Spain1996,852.63
Spain1997,817.73
Spain1998,509.53
Spain1999,603.06
Spain2000,663.27
Spain2001,614.29
Spain2002,715.4
Spain2003,730.99
Spain2004,599.73
Spain2005,468.28
Spain2006,649.59
Spain2007,588.88
Spain2008,689.68
Spain2009,619.67
Spain2010,829.65
Spain2011,545.81
Spain2012,535.49
Spain2013,699.14
Spain2014,650.58
Spain2015,498.11
Spain2016,658.8
Spain2017,479.59
Spain2018,794.36
Spain2019,580.81
Spain2020,628.35
Spain2021,632.75
Estonia1901,465.81
Estonia1902,681.5
Estonia1903,701.85
Estonia1904,638.5
Estonia1905,600.57
Estonia1906,663.6
Estonia1907,530.01
Estonia1908,554.91
Estonia1909,558.65
Estonia1910,611.16
Estonia1911,615.1
Estonia1912,663.66
Estonia1913,568.55
Estonia1914,532.84
Estonia1915,634.82
Estonia1916,683.86
Estonia1917,593.79
Estonia1918,592.12
Estonia1919,549.05
Estonia1920,489.05
Estonia1921,593.45
Estonia1922,591.17
Estonia1923,728.76
Estonia1924,657.55
Estonia1925,757.02
Estonia1926,589.1
Estonia1927,731.54
Estonia1928,784.24
Estonia1929,628.94
Estonia1930,670.19
Estonia1931,647.91
Estonia1932,654.91
Estonia1933,493.69
Estonia1934,617.59
Estonia1935,764.58
Estonia1936,656.33
Estonia1937,656.34
Estonia1938,580.5
Estonia1939,470.83
